"Contract Type","Contract Name","Min.Bid Price (TL/MWh)","Max. Bid Price (TL/MWh)"
"Block","PB19010418-01","270.88","296.33"
"Hourly","PH19010418","1.00","297.00"
"Hourly","PH19010419","1.00","293.99"
"Block","PB19010419-01","260.00","290.65"
"Block","PB19010419-05","273.48","273.48"
"Block","PB19010419-02","288.70","288.70"
"Hourly","PH19010420","1.00","295.34"
"Block","PB19010420-02","283.00","283.00"
"Block","PB19010420-01","267.00","286.74"
"Block","PB19010420-03","275.58","275.58"
"Block","PB19010421-03","263.33","263.33"
"Block","PB19010421-01","20.00","280.00"
"Hourly","PH19010421","80.00","288.40"
"Hourly","PH19010422","1.00","267.80"
"Block","PB19010422-02","255.00","255.00"
"Block","PB19010422-01","224.99","260.00"
"Block","PB19010423-01","167.99","250.00"
"Hourly","PH19010423","49.99","257.80"
"Block","PB19010500-01","170.00","179.00"
"Block","PB19010500-10","189.10","189.10"
"Block","PB19010500-24","244.34","244.34"
"Hourly","PH19010500","60.00","178.40"
"Block","PB19010501-01","179.00","205.00"
"Block","PB19010501-09","190.29","190.29"
"Hourly","PH19010501","25.00","208.00"
"Block","PB19010502-01","100.99","122.83"
"Block","PB19010502-22","249.12","249.12"
"Hourly","PH19010502","20.00","122.83"
"Block","PB19010503-01","81.01","126.34"
"Hourly","PH19010503","11.00","126.34"
"Block","PB19010504-01","90.00","110.01"
"Hourly","PH19010504","11.00","110.01"
"Block","PB19010505-01","121.00","160.64"
"Hourly","PH19010505","20.00","160.64"
"Block","PB19010506-01","145.00","173.99"
"Hourly","PH19010506","22.00","173.99"
"Block","PB19010507-01","239.00","257.99"
"Hourly","PH19010507","90.00","257.89"
"Block","PB19010508-16","283.06","283.06"
"Hourly","PH19010508","0.01","269.57"
"Block","PB19010508-15","0.00","0.00"
"Block","PB19010508-01","236.00","270.00"
"Block","PB19010508-04","0.00","0.00"
"Block","PB19010509-01","269.69","285.86"
"Block","PB19010509-02","270.00","270.00"
"Hourly","PH19010509","2.00","285.80"
"Hourly","PH19010510","120.00","296.40"
"Block","PB19010510-01","260.00","287.77"
"Block","PB19010511-03","287.00","287.00"
"Block","PB19010511-13","283.48","283.48"
"Block","PB19010511-08","284.69","284.69"
"Block","PB19010511-01","250.24","290.01"
"Hourly","PH19010511","120.00","290.01"
"Block","PB19010512-12","0.00","0.00"
"Block","PB19010512-04","0.00","0.00"
"Block","PB19010512-06","282.42","282.42"
"Block","PB19010512-01","260.90","286.41"
"Hourly","PH19010512","110.00","286.41"
"Block","PB19010513-01","265.85","285.72"
"Block","PB19010513-02","290.00","290.00"
"Block","PB19010513-11","0.00","0.00"
"Hourly","PH19010513","120.00","286.00"
"Hourly","PH19010514","0.00","285.36"
"Block","PB19010514-10","0.00","0.00"
"Block","PB19010514-01","269.12","285.36"
"Block","PB19010515-09","288.00","288.00"
"Hourly","PH19010515","160.00","265.53"
"Block","PB19010515-01","250.00","259.48"
"Block","PB19010516-04","0.00","0.00"
"Block","PB19010516-01","264.01","286.19"
"Hourly","PH19010516","120.00","291.14"
"Hourly","PH19010517","120.00","292.26"
"Block","PB19010517-01","267.00","291.41"
"Block","PB19010517-06","270.00","270.00"
"Block","PB19010517-03","292.00","292.00"
"Block","PB19010518-01","262.01","293.00"
"Hourly","PH19010518","120.00","293.00"
"Block","PB19010519-01","264.00","290.74"
"Hourly","PH19010519","120.00","290.74"
"Hourly","PH19010520","110.00","287.71"
"Block","PB19010520-01","255.02","287.71"
"Block","PB19010520-04","0.00","0.00"
"Block","PB19010521-01","251.00","286.07"
"Hourly","PH19010521","110.00","286.07"
"Block","PB19010522-01","209.00","285.18"
"Hourly","PH19010522","120.00","286.00"
"Block","PB19010522-02","271.59","271.59"
"Hourly","PH19010523","100.00","265.37"
"Block","PB19010523-01","200.00","257.99"
"Hourly","PH19010600","100.00","294.10"
"Block","PB19010600-01","199.10","285.54"
"Block","PB19010601-01","271.00","285.75"
"Hourly","PH19010601","100.00","285.75"
"Block","PB19010602-01","230.99","253.01"
"Hourly","PH19010602","100.00","250.00"
"Block","PB19010603-01","246.41","253.00"
"Hourly","PH19010603","100.00","250.00"
"Block","PB19010604-01","195.00","221.00"
"Hourly","PH19010604","30.00","220.00"
"Hourly","PH19010605","20.00","135.00"
"Block","PB19010605-01","123.00","129.00"
"Block","PB19010606-01","123.00","136.00"
"Hourly","PH19010606","20.00","136.34"
"Hourly","PH19010607","175.00","255.00"
"Block","PB19010607-01","253.01","340.99"
"Block","PB19010608-01","98.89","101.00"
"Hourly","PH19010608","30.00","104.00"
"Hourly","PH19010609","20.00","110.00"
"Block","PB19010609-01","105.00","110.97"
"Block","PB19010610-01","244.00","250.69"
"Hourly","PH19010610","100.00","250.69"
"Block","PB19010611-01","259.98","260.00"
"Hourly","PH19010611","100.00","267.79"
"Block","PB19010611-03","258.00","258.00"
"Hourly","PH19010612","120.00","253.01"
"Block","PB19010612-01","239.00","253.01"
"Block","PB19010613-01","235.02","259.99"
"Hourly","PH19010613","160.00","265.66"
"Block","PB19010614-01","205.02","221.00"
"Hourly","PH19010614","120.00","320.00"
"Block","PB19010614-03","211.00","211.00"
"Block","PB19010615-01","162.33","301.00"
"Hourly","PH19010615","80.00","167.00"
"Hourly","PH19010616","141.99","270.00"
"Block","PB19010616-01","249.50","269.99"
"Block","PB19010617-01","290.69","306.00"
"Hourly","PH19010617","200.00","304.00"
"Hourly","PH19010618","200.00","299.00"
"Block","PB19010618-03","293.00","293.00"
"Block","PB19010618-01","289.00","295.66"
"Block","PB19010619-01","293.25","294.19"
"Hourly","PH19010619","200.00","300.00"
"Block","PB19010619-02","293.00","293.00"
"Hourly","PH19010620","200.00","300.00"
"Block","PB19010620-01","281.01","291.64"
"Block","PB19010621-01","285.10","290.16"
"Hourly","PH19010621","200.00","291.00"
"Block","PB19010621-03","288.00","288.00"
"Block","PB19010622-01","287.79","301.00"
"Hourly","PH19010622","200.00","300.00"
"Block","PB19010623-01","285.78","301.00"
"Hourly","PH19010623","200.00","300.00"
"Block","PB19010700-01","193.01","202.00"
"Hourly","PH19010700","1.00","219.99"
"Hourly","PH19010701","1.00","209.80"
"Block","PB19010701-01","198.74","204.00"
"Block","PB19010702-01","113.79","113.79"
"Hourly","PH19010702","1.00","120.00"
"Block","PB19010703-01","198.75","200.00"
"Hourly","PH19010703","1.00","210.00"
"Block","PB19010704-01","73.99","76.27"
"Hourly","PH19010704","10.00","100.00"
"Hourly","PH19010705","1.00","120.01"
"Block","PB19010705-01","112.00","112.29"
"Hourly","PH19010706","1.00","259.88"
"Block","PB19010706-01","250.00","251.24"
"Block","PB19010707-01","285.00","285.24"
"Hourly","PH19010707","120.00","292.00"
"Hourly","PH19010708","1.00","300.00"
"Block","PB19010708-01","289.90","290.00"
"Block","PB19010709-01","291.00","291.34"
"Hourly","PH19010709","1.00","308.00"
"Hourly","PH19010710","1.00","317.30"
"Block","PB19010710-01","293.38","294.00"
"Block","PB19010711-02","293.25","293.25"
"Block","PB19010711-13","277.52","277.53"
"Hourly","PH19010711","200.00","320.00"
"Block","PB19010711-01","201.00","306.00"
"Hourly","PH19010712","200.00","313.89"
"Block","PB19010712-01","290.50","290.60"
"Block","PB19010712-12","275.98","275.98"
"Block","PB19010712-02","295.00","295.00"
"Block","PB19010713-01","290.38","291.00"
"Hourly","PH19010713","200.00","355.00"
"Block","PB19010713-03","290.67","291.00"
"Block","PB19010714-03","292.00","292.00"
"Hourly","PH19010714","200.00","320.10"
"Block","PB19010714-01","291.44","295.00"
"Hourly","PH19010715","200.00","330.00"
"Block","PB19010715-01","290.15","320.00"
"Block","PB19010716-02","293.20","293.20"
"Hourly","PH19010716","200.00","330.49"
"Block","PB19010716-01","291.16","325.00"
"Hourly","PH19010717","200.00","332.00"
"Block","PB19010717-01","295.00","329.13"
"Block","PB19010718-01","292.95","325.00"
"Hourly","PH19010718","200.00","330.00"
"Block","PB19010718-02","289.89","300.00"
"Hourly","PH19010719","200.00","392.13"
"Block","PB19010719-01","286.84","319.00"
"Block","PB19010720-01","285.89","329.00"
"Hourly","PH19010720","200.00","329.99"
"Block","PB19010720-03","285.59","285.59"
"Block","PB19010720-02","286.88","286.89"
"Hourly","PH19010721","200.00","322.34"
"Block","PB19010721-01","285.00","306.01"
"Block","PB19010722-01","285.00","300.90"
"Hourly","PH19010722","200.00","300.10"
"Block","PB19010723-01","126.34","140.69"
"Hourly","PH19010723","76.00","199.90"
"Hourly","PH19010800","90.00","205.89"
"Block","PB19010800-01","184.02","198.75"
"Block","PB19010801-01","184.70","185.00"
"Hourly","PH19010801","70.00","190.00"
