"Contract Type","Contract Name","Clearing Quantity (MWh)"
"Hourly","PH19010612","317.40"
"Block","PB19010612-01","77.30"
"Block","PB19010613-01","67.50"
"Hourly","PH19010613","370.30"
"Block","PB19010614-01","51.40"
"Hourly","PH19010614","656.40"
"Block","PB19010614-03","1.50"
"Block","PB19010615-01","48.40"
"Hourly","PH19010615","723.30"
"Hourly","PH19010616","574.50"
"Block","PB19010616-01","77.70"
"Block","PB19010617-01","45.90"
"Hourly","PH19010617","593.00"
"Hourly","PH19010618","645.10"
"Block","PB19010618-03","0.50"
"Block","PB19010618-01","34.30"
"Block","PB19010619-01","36.00"
"Hourly","PH19010619","632.50"
"Block","PB19010619-02","0.50"
"Hourly","PH19010620","662.10"
"Block","PB19010620-01","46.60"
"Block","PB19010621-01","55.00"
"Hourly","PH19010621","591.20"
"Block","PB19010621-03","2.00"
"Block","PB19010622-01","67.80"
"Hourly","PH19010622","429.30"
"Block","PB19010623-01","74.60"
"Hourly","PH19010623","407.80"
"Block","PB19010700-01","34.80"
"Hourly","PH19010700","456.20"
"Hourly","PH19010701","536.80"
"Block","PB19010701-01","64.80"
"Block","PB19010702-01","15.60"
"Hourly","PH19010702","254.00"
"Block","PB19010703-01","20.80"
"Hourly","PH19010703","174.00"
"Block","PB19010704-01","67.30"
"Hourly","PH19010704","125.70"
"Hourly","PH19010705","184.80"
"Block","PB19010705-01","22.90"
"Hourly","PH19010706","308.20"
"Block","PB19010706-01","26.70"
"Block","PB19010707-01","21.80"
"Hourly","PH19010707","152.10"
"Hourly","PH19010708","87.80"
"Block","PB19010708-01","17.70"
"Block","PB19010709-01","15.80"
"Hourly","PH19010709","103.30"
"Hourly","PH19010710","200.70"
"Block","PB19010710-01","16.40"
"Block","PB19010711-02","4.80"
"Block","PB19010711-13","0.00"
"Hourly","PH19010711","208.90"
"Block","PB19010711-01","9.70"
"Hourly","PH19010712","363.60"
"Block","PB19010712-01","27.30"
"Block","PB19010712-12","0.10"
"Block","PB19010712-02","5.00"
"Block","PB19010713-01","23.70"
"Hourly","PH19010713","574.40"
"Block","PB19010713-03","3.50"
"Block","PB19010714-03","4.00"
"Hourly","PH19010714","405.30"
"Block","PB19010714-01","35.20"
"Hourly","PH19010715","381.00"
"Block","PB19010715-01","50.70"
"Block","PB19010716-02","2.70"
"Hourly","PH19010716","327.40"
"Block","PB19010716-01","50.30"
"Hourly","PH19010717","341.50"
"Block","PB19010717-01","54.30"
"Block","PB19010718-01","53.70"
"Hourly","PH19010718","340.50"
"Block","PB19010718-02","6.20"
"Hourly","PH19010719","257.70"
"Block","PB19010719-01","65.30"
"Block","PB19010720-01","52.30"
"Hourly","PH19010720","271.50"
"Block","PB19010720-03","17.30"
"Block","PB19010720-02","2.70"
"Hourly","PH19010721","569.50"
"Block","PB19010721-01","60.80"
"Block","PB19010722-01","61.50"
"Hourly","PH19010722","826.80"
"Block","PB19010723-01","55.80"
"Hourly","PH19010723","637.10"
"Hourly","PH19010800","169.10"
"Block","PB19010800-01","29.40"
"Block","PB19010801-01","46.50"
"Hourly","PH19010801","217.80"
"Block","PB19010802-01","49.20"
"Block","PB19010802-02","7.00"
"Hourly","PH19010802","172.20"
"Block","PB19010803-01","43.30"
"Hourly","PH19010803","148.70"
"Block","PB19010804-01","58.60"
"Hourly","PH19010804","250.40"
"Block","PB19010805-01","41.10"
"Hourly","PH19010805","267.90"
"Block","PB19010806-01","48.00"
"Hourly","PH19010806","300.70"
"Block","PB19010807-01","50.80"
"Hourly","PH19010807","214.00"
"Block","PB19010808-01","58.50"
"Hourly","PH19010808","549.50"
"Block","PB19010809-01","66.90"
"Hourly","PH19010809","225.60"
"Block","PB19010810-01","67.90"
"Hourly","PH19010810","302.70"
"Block","PB19010811-02","1.00"
"Block","PB19010811-01","77.80"
"Hourly","PH19010811","336.50"
"Block","PB19010812-01","92.60"
"Hourly","PH19010812","333.90"
"Block","PB19010813-01","102.70"
"Hourly","PH19010813","363.50"
"Block","PB19010814-01","135.50"
"Hourly","PH19010814","249.30"
"Block","PB19010815-01","120.10"
"Hourly","PH19010815","279.70"
"Block","PB19010816-02","0.00"
"Block","PB19010816-01","140.90"
"Hourly","PH19010816","358.10"
"Block","PB19010817-01","180.10"
"Hourly","PH19010817","317.70"
"Block","PB19010818-06","22.60"
"Block","PB19010818-01","78.90"
"Hourly","PH19010818","306.00"
"Block","PB19010819-01","58.10"
"Hourly","PH19010819","265.70"
"Block","PB19010820-01","59.10"
"Hourly","PH19010820","524.20"
"Block","PB19010821-01","50.40"
"Hourly","PH19010821","554.80"
"Block","PB19010822-01","37.70"
"Hourly","PH19010822","568.60"
"Block","PB19010823-01","45.60"
"Hourly","PH19010823","517.60"
"Block","PB19010900-01","22.80"
"Block","PB19010900-12","20.00"
"Hourly","PH19010900","146.50"
"Hourly","PH19010901","90.50"
"Block","PB19010901-01","24.30"
"Block","PB19010902-01","29.70"
"Hourly","PH19010902","126.60"
"Hourly","PH19010903","96.20"
"Block","PB19010903-01","27.00"
"Block","PB19010904-01","44.50"
"Hourly","PH19010904","133.30"
"Hourly","PH19010905","116.00"
"Block","PB19010905-01","27.80"
"Block","PB19010906-01","35.50"
"Hourly","PH19010906","117.40"
"Block","PB19010907-01","41.90"
"Hourly","PH19010907","260.60"
"Block","PB19010908-01","57.60"
"Hourly","PH19010908","189.10"
"Block","PB19010909-01","77.30"
"Hourly","PH19010909","247.30"
"Block","PB19010910-01","75.60"
"Block","PB19010910-03","0.50"
"Hourly","PH19010910","348.80"
"Block","PB19010911-04","5.80"
"Block","PB19010911-01","224.30"
"Hourly","PH19010911","420.00"
"Block","PB19010912-03","20.00"
"Hourly","PH19010912","448.10"
"Block","PB19010912-08","445.00"
"Block","PB19010912-01","75.20"
"Block","PB19010913-01","79.40"
"Hourly","PH19010913","490.20"
"Block","PB19010914-01","71.20"
"Hourly","PH19010914","501.40"
"Block","PB19010915-04","20.00"
"Block","PB19010915-01","100.50"
"Hourly","PH19010915","634.30"
"Block","PB19010916-01","86.00"
"Hourly","PH19010916","1,057.80"
"Block","PB19010917-01","113.80"
"Hourly","PH19010917","1,081.80"
"Block","PB19010918-01","55.80"
"Hourly","PH19010918","959.50"
"Hourly","PH19010919","1,186.60"
"Block","PB19010919-01","68.60"
"Block","PB19010919-05","20.00"
"Hourly","PH19010920","1,402.60"
"Block","PB19010920-01","75.70"
"Block","PB19010920-04","499.00"
"Block","PB19010921-01","74.00"
"Hourly","PH19010921","1,227.60"
"Hourly","PH19010922","1,074.30"
"Block","PB19010922-01","61.80"
