"Contract Type","Contract Name","Clearing Quantity (MWh)"
"Hourly","PH19071907","187.20"
"Block","PB19071908-01","124.70"
"Hourly","PH19071908","184.80"
"Hourly","PH19071909","320.50"
"Block","PB19071909-01","121.30"
"Block","PB19071909-03","60.10"
"Block","PB19071910-01","140.10"
"Hourly","PH19071910","383.30"
"Block","PB19071910-02","180.40"
"Block","PB19071911-01","258.20"
"Hourly","PH19071911","281.80"
"Hourly","PH19071912","369.70"
"Block","PB19071912-11","11.00"
"Block","PB19071912-01","134.10"
"Block","PB19071912-12","20.10"
"Hourly","PH19071913","370.50"
"Block","PB19071913-01","134.70"
"Hourly","PH19071914","347.90"
"Block","PB19071914-01","181.90"
"Hourly","PH19071915","427.40"
"Block","PB19071915-01","212.90"
"Hourly","PH19071916","446.20"
"Block","PB19071916-01","215.20"
"Block","PB19071917-01","266.40"
"Hourly","PH19071917","329.60"
"Block","PB19071918-01","209.10"
"Hourly","PH19071918","339.50"
"Hourly","PH19071919","398.90"
"Block","PB19071919-01","212.00"
"Block","PB19071920-01","204.00"
"Hourly","PH19071920","353.70"
"Hourly","PH19071921","373.70"
"Block","PB19071921-01","164.60"
"Hourly","PH19071922","311.40"
"Block","PB19071922-01","191.10"
"Block","PB19071923-01","201.00"
"Hourly","PH19071923","413.10"
"Hourly","PH19072000","351.90"
"Block","PB19072000-04","60.00"
"Block","PB19072000-01","119.00"
"Hourly","PH19072001","180.10"
"Block","PB19072001-01","118.20"
"Hourly","PH19072002","287.40"
"Block","PB19072002-01","146.10"
"Block","PB19072003-01","142.60"
"Hourly","PH19072003","134.90"
"Hourly","PH19072004","154.70"
"Block","PB19072004-02","10.00"
"Block","PB19072004-01","157.40"
"Block","PB19072005-01","175.60"
"Hourly","PH19072005","109.50"
"Block","PB19072006-01","179.90"
"Hourly","PH19072006","109.10"
"Hourly","PH19072007","241.40"
"Block","PB19072007-01","205.50"
"Block","PB19072008-01","190.10"
"Hourly","PH19072008","499.50"
"Hourly","PH19072009","558.20"
"Block","PB19072009-01","195.60"
"Block","PB19072010-01","193.90"
"Hourly","PH19072010","489.00"
"Block","PB19072011-01","189.50"
"Hourly","PH19072011","701.60"
"Block","PB19072012-01","176.70"
"Hourly","PH19072012","553.10"
"Hourly","PH19072013","604.60"
"Block","PB19072013-01","170.70"
"Block","PB19072014-01","153.30"
"Hourly","PH19072014","384.60"
"Block","PB19072015-01","221.90"
"Block","PB19072015-09","10.00"
"Hourly","PH19072015","404.30"
"Hourly","PH19072016","377.20"
"Block","PB19072016-01","175.90"
"Block","PB19072017-01","166.30"
"Hourly","PH19072017","409.70"
"Block","PB19072017-03","0.40"
"Block","PB19072018-01","160.90"
"Hourly","PH19072018","291.60"
"Hourly","PH19072019","289.10"
"Block","PB19072019-04","7.00"
"Block","PB19072019-01","174.40"
"Hourly","PH19072020","311.40"
"Block","PB19072020-03","7.00"
"Block","PB19072020-04","0.30"
"Block","PB19072020-01","177.40"
"Block","PB19072021-01","214.80"
"Hourly","PH19072021","291.80"
"Block","PB19072022-01","201.20"
"Hourly","PH19072022","283.80"
"Hourly","PH19072023","350.50"
"Block","PB19072023-01","190.90"
"Hourly","PH19072100","127.80"
"Block","PB19072100-01","122.10"
"Hourly","PH19072101","213.20"
"Block","PB19072101-01","137.20"
"Hourly","PH19072102","192.90"
"Block","PB19072102-01","138.90"
"Hourly","PH19072103","368.40"
"Block","PB19072103-01","126.00"
"Hourly","PH19072104","462.80"
"Block","PB19072104-01","231.10"
"Hourly","PH19072105","256.80"
"Block","PB19072105-01","203.00"
"Block","PB19072105-19","2.00"
"Hourly","PH19072106","190.20"
"Block","PB19072106-01","161.00"
"Block","PB19072107-01","146.80"
"Hourly","PH19072107","167.80"
"Hourly","PH19072108","170.20"
"Block","PB19072108-01","145.10"
"Block","PB19072109-01","169.70"
"Hourly","PH19072109","261.80"
"Hourly","PH19072110","241.70"
"Block","PB19072110-01","178.20"
"Block","PB19072111-01","172.20"
"Hourly","PH19072111","357.30"
"Block","PB19072112-01","242.20"
"Hourly","PH19072112","391.70"
"Block","PB19072113-01","232.90"
"Hourly","PH19072113","324.10"
"Hourly","PH19072114","357.70"
"Block","PB19072114-01","264.50"
"Hourly","PH19072115","331.20"
"Block","PB19072115-03","1.80"
"Block","PB19072115-01","212.60"
"Hourly","PH19072116","331.80"
"Block","PB19072116-01","187.00"
"Block","PB19072117-01","171.80"
"Hourly","PH19072117","338.50"
"Hourly","PH19072118","347.30"
"Block","PB19072118-01","160.10"
"Block","PB19072119-02","1.80"
"Hourly","PH19072119","314.50"
"Block","PB19072119-01","184.00"
"Hourly","PH19072120","324.60"
"Block","PB19072120-01","215.50"
"Hourly","PH19072121","446.70"
"Block","PB19072121-01","260.10"
"Block","PB19072122-01","171.40"
"Hourly","PH19072122","391.30"
"Hourly","PH19072123","354.90"
"Block","PB19072123-01","181.50"
"Block","PB19072200-01","109.70"
"Hourly","PH19072200","232.30"
"Block","PB19072201-01","152.50"
"Hourly","PH19072201","178.90"
"Block","PB19072202-01","140.20"
"Hourly","PH19072202","254.80"
"Hourly","PH19072203","334.20"
"Block","PB19072203-02","1.80"
"Block","PB19072203-01","144.60"
"Hourly","PH19072204","293.00"
"Block","PB19072204-01","154.80"
"Hourly","PH19072205","175.80"
"Block","PB19072205-01","149.80"
"Hourly","PH19072206","284.70"
"Block","PB19072206-01","129.30"
"Block","PB19072207-01","160.50"
"Hourly","PH19072207","289.90"
"Block","PB19072208-01","199.50"
"Hourly","PH19072208","131.90"
"Hourly","PH19072209","118.20"
"Block","PB19072209-01","219.80"
"Hourly","PH19072210","245.40"
"Block","PB19072210-01","206.50"
"Block","PB19072211-01","213.50"
"Hourly","PH19072211","383.20"
"Block","PB19072212-12","40.00"
"Block","PB19072212-01","190.40"
"Hourly","PH19072212","426.90"
"Block","PB19072213-01","230.60"
"Hourly","PH19072213","507.80"
"Block","PB19072214-02","0.50"
"Block","PB19072214-01","233.00"
"Hourly","PH19072214","383.80"
"Block","PB19072215-01","192.10"
"Hourly","PH19072215","486.20"
"Block","PB19072216-01","228.00"
"Hourly","PH19072216","539.40"
"Hourly","PH19072217","536.30"
"Block","PB19072217-01","221.50"
"Block","PB19072218-01","202.40"
"Hourly","PH19072218","580.70"
"Block","PB19072218-06","1.00"
"Block","PB19072219-01","211.60"
"Hourly","PH19072219","519.40"
"Hourly","PH19072220","428.40"
"Block","PB19072220-01","205.20"
"Block","PB19072220-03","2.50"
"Block","PB19072221-01","164.20"
"Hourly","PH19072221","395.80"
"Hourly","PH19072222","420.90"
"Block","PB19072222-01","145.20"
"Hourly","PH19072223","391.10"
"Block","PB19072223-01","208.80"
"Hourly","PH19072300","357.40"
"Block","PB19072300-01","153.70"
"Block","PB19072301-01","144.60"
"Hourly","PH19072301","401.80"
"Block","PB19072302-01","146.50"
"Hourly","PH19072302","437.10"
"Hourly","PH19072303","262.30"
"Block","PB19072303-01","162.40"
"Hourly","PH19072304","358.80"
"Block","PB19072304-01","146.20"
"Block","PB19072305-01","161.20"
"Hourly","PH19072305","83.20"
"Hourly","PH19072306","62.10"
"Block","PB19072306-01","158.40"
"Block","PB19072307-01","163.70"
"Hourly","PH19072307","213.70"
"Block","PB19072308-01","169.90"
"Hourly","PH19072308","113.80"
"Block","PB19072309-01","174.90"
"Hourly","PH19072309","251.40"
"Block","PB19072310-01","226.50"
"Hourly","PH19072310","265.90"
"Hourly","PH19072311","395.60"
"Block","PB19072311-01","256.10"
"Block","PB19072312-02","5.60"
"Block","PB19072312-01","294.20"
"Hourly","PH19072312","523.30"
"Block","PB19072313-01","288.00"
"Hourly","PH19072313","495.10"
"Block","PB19072314-02","5.60"
"Block","PB19072314-01","261.10"
"Hourly","PH19072314","510.70"
"Block","PB19072315-01","285.90"
"Hourly","PH19072315","530.80"
"Block","PB19072316-01","398.40"
"Block","PB19072316-02","8.40"
"Hourly","PH19072316","521.70"
"Hourly","PH19072317","623.10"
"Block","PB19072317-01","251.40"
"Block","PB19072318-01","228.60"
"Block","PB19072318-04","50.00"
"Hourly","PH19072318","571.30"
"Block","PB19072319-01","187.20"
"Hourly","PH19072319","415.60"
"Block","PB19072320-01","208.70"
"Hourly","PH19072320","481.40"
"Hourly","PH19072321","441.60"
"Block","PB19072321-01","169.20"
"Hourly","PH19072322","423.90"
"Block","PB19072322-01","175.50"
"Block","PB19072323-01","210.60"
"Hourly","PH19072323","538.50"
"Block","PB19072400-01","149.50"
"Hourly","PH19072400","268.40"
"Block","PB19072401-01","147.00"
"Hourly","PH19072401","230.00"
"Block","PB19072402-01","163.40"
"Hourly","PH19072402","151.90"
"Block","PB19072403-01","180.30"
"Hourly","PH19072403","159.90"
"Hourly","PH19072404","194.10"
"Block","PB19072404-01","190.90"
"Block","PB19072405-01","190.60"
"Hourly","PH19072405","179.90"
"Block","PB19072406-01","277.80"
"Hourly","PH19072406","166.90"
"Hourly","PH19072407","241.50"
"Block","PB19072407-01","225.00"
"Hourly","PH19072408","120.50"
"Block","PB19072408-01","174.60"
"Hourly","PH19072409","128.70"
"Block","PB19072409-01","192.00"
"Hourly","PH19072410","287.90"
"Block","PB19072410-01","232.10"
"Hourly","PH19072411","381.20"
"Block","PB19072411-01","287.60"
"Hourly","PH19072412","519.60"
"Block","PB19072412-01","209.30"
"Block","PB19072413-01","195.80"
"Block","PB19072413-02","1.00"
"Block","PB19072413-06","70.00"
"Hourly","PH19072413","630.10"
"Hourly","PH19072414","532.40"
"Block","PB19072414-01","238.30"
"Block","PB19072415-01","229.90"
"Hourly","PH19072415","570.20"
"Block","PB19072416-01","258.40"
"Hourly","PH19072416","590.20"
"Hourly","PH19072417","545.40"
"Block","PB19072417-01","288.10"
"Hourly","PH19072418","445.20"
"Block","PB19072418-01","288.30"
"Hourly","PH19072419","411.30"
"Block","PB19072419-01","310.70"
"Block","PB19072420-04","10.00"
"Hourly","PH19072420","372.30"
"Block","PB19072420-01","161.10"
"Block","PB19072421-01","144.30"
"Hourly","PH19072421","343.60"
"Hourly","PH19072422","353.60"
"Block","PB19072422-01","148.90"
"Block","PB19072423-01","201.70"
"Hourly","PH19072423","351.70"
"Block","PB19072500-01","160.00"
"Block","PB19072500-08","10.00"
"Hourly","PH19072500","208.80"
"Block","PB19072501-01","157.60"
"Hourly","PH19072501","193.40"
"Block","PB19072502-01","161.00"
"Hourly","PH19072502","148.90"
"Block","PB19072503-01","168.90"
"Hourly","PH19072503","162.70"
"Block","PB19072504-01","192.20"
"Block","PB19072504-20","7.00"
"Hourly","PH19072504","155.40"
"Block","PB19072505-01","191.60"
"Hourly","PH19072505","170.90"
"Block","PB19072506-01","178.90"
"Hourly","PH19072506","136.30"
"Block","PB19072507-01","170.70"
"Hourly","PH19072507","131.50"
"Block","PB19072508-03","10.70"
"Block","PB19072508-01","215.00"
"Hourly","PH19072508","95.70"
"Block","PB19072509-01","199.80"
"Hourly","PH19072509","159.80"
"Block","PB19072510-01","204.30"
"Hourly","PH19072510","339.70"
"Block","PB19072511-02","11.10"
"Block","PB19072511-01","200.20"
"Hourly","PH19072511","361.50"
"Block","PB19072512-01","152.50"
"Hourly","PH19072512","455.50"
"Block","PB19072513-01","163.60"
"Hourly","PH19072513","493.00"
"Block","PB19072514-01","159.90"
"Block","PB19072514-07","10.00"
"Hourly","PH19072514","548.50"
"Block","PB19072515-01","168.60"
"Hourly","PH19072515","599.30"
"Block","PB19072516-01","158.90"
"Hourly","PH19072516","486.00"
"Block","PB19072517-01","164.40"
"Hourly","PH19072517","398.20"
"Block","PB19072518-01","153.50"
"Hourly","PH19072518","399.40"
"Block","PB19072519-01","185.50"
"Hourly","PH19072519","254.90"
"Block","PB19072520-01","164.50"
"Hourly","PH19072520","252.40"
"Block","PB19072521-03","10.00"
"Hourly","PH19072521","328.80"
"Block","PB19072521-01","164.70"
"Block","PB19072522-01","164.50"
"Hourly","PH19072522","441.10"
"Block","PB19072523-01","163.30"
"Hourly","PH19072523","543.00"
"Block","PB19072600-01","180.10"
"Hourly","PH19072600","144.80"
"Block","PB19072601-01","149.80"
"Hourly","PH19072601","130.00"
"Block","PB19072602-01","173.30"
"Block","PB19072602-08","10.40"
"Hourly","PH19072602","150.90"
"Block","PB19072603-01","168.30"
"Hourly","PH19072603","161.80"
"Block","PB19072604-01","193.90"
"Hourly","PH19072604","190.80"
"Block","PB19072605-01","187.70"
"Hourly","PH19072605","355.80"
"Block","PB19072606-01","184.00"
"Hourly","PH19072606","396.70"
"Block","PB19072607-01","148.40"
"Hourly","PH19072607","309.60"
"Block","PB19072608-01","119.40"
"Hourly","PH19072608","265.10"
"Block","PB19072609-01","151.40"
"Hourly","PH19072609","319.80"
"Block","PB19072610-10","10.00"
"Block","PB19072610-01","140.70"
"Hourly","PH19072610","687.90"
"Block","PB19072611-01","176.50"
"Hourly","PH19072611","401.00"
"Block","PB19072612-01","175.70"
"Block","PB19072612-06","1.60"
"Hourly","PH19072612","434.50"
"Block","PB19072613-01","155.40"
"Hourly","PH19072613","484.20"
"Block","PB19072614-01","167.10"
"Hourly","PH19072614","529.50"
"Block","PB19072615-01","158.50"
"Hourly","PH19072615","605.80"
"Block","PB19072616-01","176.20"
"Hourly","PH19072616","351.10"
"Block","PB19072617-01","165.90"
"Hourly","PH19072617","474.00"
"Hourly","PH19072618","422.80"
"Block","PB19072618-01","182.00"
"Block","PB19072619-01","190.90"
"Hourly","PH19072619","340.50"
"Block","PB19072620-04","10.00"
"Block","PB19072620-01","195.00"
"Hourly","PH19072620","320.60"
"Block","PB19072621-01","170.30"
"Hourly","PH19072621","283.40"
"Block","PB19072622-01","171.70"
"Hourly","PH19072622","300.40"
"Block","PB19072623-01","194.80"
"Hourly","PH19072623","316.20"
"Hourly","PH19072700","165.80"
"Block","PB19072700-01","142.40"
"Block","PB19072700-04","10.00"
"Hourly","PH19072701","156.60"
"Block","PB19072701-01","128.20"
"Block","PB19072702-01","158.90"
"Hourly","PH19072702","106.40"
"Block","PB19072703-01","148.10"
"Hourly","PH19072703","120.30"
"Hourly","PH19072706","77.50"
"Block","PB19072706-06","10.00"
"Block","PB19072706-01","137.80"
"Block","PB19072707-01","128.60"
"Hourly","PH19072707","153.30"
"Hourly","PH19072708","119.30"
"Block","PB19072708-01","171.00"
"Hourly","PH19072709","110.70"
"Block","PB19072709-01","159.10"
"Hourly","PH19072710","113.10"
"Block","PB19072710-01","152.70"
"Block","PB19072711-01","139.60"
"Hourly","PH19072711","136.50"
"Block","PB19072712-08","10.00"
"Block","PB19072712-01","171.00"
"Hourly","PH19072712","87.50"
"Block","PB19072713-01","171.30"
"Hourly","PH19072713","142.90"
"Block","PB19072714-01","194.50"
"Hourly","PH19072714","221.20"
"Block","PB19072715-01","225.90"
"Hourly","PH19072715","293.90"
"Hourly","PH19072716","257.30"
"Block","PB19072716-02","3.00"
"Block","PB19072716-01","254.10"
"Block","PB19072717-01","271.70"
"Hourly","PH19072717","224.70"
"Block","PB19072718-01","253.20"
"Hourly","PH19072718","277.60"
"Block","PB19072719-01","253.60"
"Hourly","PH19072719","220.40"
"Block","PB19072720-01","207.30"
"Block","PB19072720-04","10.00"
"Hourly","PH19072720","170.20"
"Block","PB19072721-01","199.70"
"Hourly","PH19072721","160.90"
"Block","PB19072722-01","175.90"
"Hourly","PH19072722","204.50"
"Block","PB19072723-01","170.50"
"Hourly","PH19072723","246.60"
"Hourly","PH19072800","164.40"
"Block","PB19072800-06","10.00"
"Block","PB19072800-01","118.30"
"Hourly","PH19072801","202.30"
"Block","PB19072801-01","105.80"
"Hourly","PH19072802","196.40"
"Block","PB19072802-01","123.10"
"Block","PB19072803-01","163.80"
"Hourly","PH19072803","250.40"
"Hourly","PH19072804","163.10"
"Block","PB19072804-01","150.90"
"Block","PB19072805-01","139.90"
"Hourly","PH19072805","202.30"
"Block","PB19072806-01","151.90"
"Hourly","PH19072806","222.30"
"Hourly","PH19072807","299.80"
"Block","PB19072807-01","134.70"
"Block","PB19072808-01","115.00"
"Hourly","PH19072808","300.80"
"Block","PB19072809-01","120.20"
"Hourly","PH19072809","191.40"
"Block","PB19072810-01","110.80"
"Hourly","PH19072810","295.00"
"Hourly","PH19072811","322.50"
"Block","PB19072811-09","10.00"
"Block","PB19072811-01","117.90"
"Block","PB19072812-01","133.70"
"Hourly","PH19072812","315.60"
"Block","PB19072812-12","1.60"
"Block","PB19072813-01","151.90"
"Hourly","PH19072813","274.80"
"Block","PB19072814-01","154.00"
"Hourly","PH19072814","265.90"
"Hourly","PH19072815","268.40"
"Block","PB19072815-01","150.70"
"Hourly","PH19072816","334.00"
"Block","PB19072816-01","132.50"
"Block","PB19072817-01","121.40"
"Hourly","PH19072817","366.20"
"Hourly","PH19072818","281.30"
"Block","PB19072818-01","125.90"
"Hourly","PH19072819","324.70"
"Block","PB19072819-01","168.00"
"Block","PB19072819-05","0.50"
"Block","PB19072820-04","10.00"
"Hourly","PH19072820","319.50"
"Block","PB19072820-01","234.30"
"Block","PB19072821-01","248.30"
"Hourly","PH19072821","287.20"
"Block","PB19072822-01","281.50"
"Hourly","PH19072822","428.60"
"Block","PB19072823-01","285.20"
"Hourly","PH19072823","280.90"
"Block","PB19072900-01","108.00"
"Hourly","PH19072900","91.60"
"Block","PB19072900-11","10.00"
"Block","PB19072901-05","10.00"
"Block","PB19072901-01","85.10"
"Hourly","PH19072901","132.60"
"Hourly","PH19072902","178.60"
"Block","PB19072902-01","90.80"
"Hourly","PH19072903","140.90"
"Block","PB19072903-01","85.90"
"Hourly","PH19072904","137.90"
"Block","PB19072904-01","68.70"
"Hourly","PH19072905","160.10"
"Block","PB19072905-01","60.20"
"Block","PB19072906-01","71.50"
"Hourly","PH19072906","297.70"
"Block","PB19072907-01","63.70"
"Hourly","PH19072907","273.10"
"Block","PB19072908-01","79.50"
"Hourly","PH19072908","72.00"
"Hourly","PH19072909","116.40"
"Block","PB19072909-01","91.20"
"Block","PB19072910-01","137.20"
"Hourly","PH19072910","210.00"
"Hourly","PH19072911","171.80"
"Block","PB19072911-01","177.60"
"Block","PB19072911-02","10.00"
"Hourly","PH19072912","274.70"
"Block","PB19072912-07","50.00"
"Block","PB19072912-01","157.90"
"Block","PB19072912-03","0.00"
"Hourly","PH19072913","327.70"
"Block","PB19072913-03","0.00"
"Block","PB19072913-07","10.00"
"Block","PB19072913-01","150.90"
"Hourly","PH19072914","481.80"
"Block","PB19072914-01","115.80"
"Block","PB19072915-01","123.20"
"Hourly","PH19072915","540.70"
"Hourly","PH19072916","421.80"
"Block","PB19072916-01","198.10"
"Block","PB19072917-01","217.80"
"Hourly","PH19072917","453.90"
"Block","PB19072918-01","205.10"
"Hourly","PH19072918","403.40"
"Hourly","PH19072919","299.20"
"Block","PB19072919-05","10.00"
"Block","PB19072919-01","158.00"
"Block","PB19072920-01","170.70"
"Hourly","PH19072920","280.60"
"Hourly","PH19072921","281.20"
"Block","PB19072921-01","158.20"
"Hourly","PH19072922","266.20"
"Block","PB19072922-01","152.70"
"Hourly","PH19072923","240.10"
"Block","PB19072923-01","164.30"
"Hourly","PH19073000","223.90"
"Block","PB19073000-06","3.60"
"Block","PB19073000-01","118.10"
"Block","PB19073001-01","109.40"
"Block","PB19073001-05","4.20"
"Hourly","PH19073001","205.40"
"Block","PB19073002-01","105.50"
"Hourly","PH19073002","174.20"
"Hourly","PH19073003","123.80"
"Block","PB19073003-01","90.80"
"Hourly","PH19073004","102.90"
"Block","PB19073004-01","77.30"
"Block","PB19073005-01","71.30"
"Hourly","PH19073005","120.70"
"Block","PB19073006-01","83.60"
"Hourly","PH19073006","113.00"
"Block","PB19073007-01","81.40"
"Hourly","PH19073007","82.40"
"Hourly","PH19073008","49.20"
"Block","PB19073008-01","77.10"
"Block","PB19073008-12","10.00"
"Block","PB19073008-03","4.00"
"Hourly","PH19073009","67.30"
"Block","PB19073009-01","68.00"
"Hourly","PH19073010","178.40"
"Block","PB19073010-02","13.00"
"Block","PB19073010-01","68.30"
"Hourly","PH19073011","227.70"
"Block","PB19073011-01","160.40"
"Hourly","PH19073012","272.50"
"Block","PB19073012-12","8.00"
"Block","PB19073012-01","176.20"
"Hourly","PH19073013","239.00"
"Block","PB19073013-01","170.10"
"Block","PB19073014-01","256.30"
"Hourly","PH19073014","356.30"
"Block","PB19073015-01","199.10"
"Block","PB19073015-09","3.00"
"Hourly","PH19073015","301.60"
"Hourly","PH19073016","334.00"
"Block","PB19073016-01","192.60"
"Hourly","PH19073017","190.10"
"Block","PB19073017-01","148.10"
"Hourly","PH19073018","264.90"
"Block","PB19073018-01","142.00"
"Block","PB19073019-02","3.00"
"Block","PB19073019-01","139.20"
"Hourly","PH19073019","303.30"
"Block","PB19073020-04","10.00"
"Block","PB19073020-01","119.20"
"Hourly","PH19073020","303.60"
"Hourly","PH19073021","270.40"
"Block","PB19073021-01","123.00"
"Block","PB19073022-01","121.70"
"Hourly","PH19073022","400.90"
"Block","PB19073023-01","126.00"
"Hourly","PH19073023","297.80"
"Block","PB19073100-01","125.50"
"Hourly","PH19073100","76.10"
"Block","PB19073101-01","117.50"
"Hourly","PH19073101","159.50"
"Block","PB19073102-01","109.30"
"Hourly","PH19073102","110.80"
"Block","PB19073103-01","104.60"
"Hourly","PH19073103","73.00"
"Block","PB19073103-06","0.20"
"Block","PB19073104-20","0.70"
"Hourly","PH19073104","81.10"
"Block","PB19073104-01","108.80"
"Block","PB19073105-01","97.50"
"Hourly","PH19073105","124.20"
"Block","PB19073106-01","118.50"
"Hourly","PH19073106","229.50"
"Hourly","PH19073107","125.00"
"Block","PB19073107-01","102.60"
"Hourly","PH19073108","102.90"
"Block","PB19073108-01","123.00"
"Block","PB19073109-11","10.00"
"Block","PB19073109-01","106.80"
"Hourly","PH19073109","100.90"
"Hourly","PH19073110","227.00"
"Block","PB19073110-01","149.30"
"Block","PB19073111-01","157.50"
"Hourly","PH19073111","291.30"
"Hourly","PH19073112","300.10"
"Block","PB19073112-12","5.00"
"Block","PB19073112-01","140.10"
"Block","PB19073113-01","172.00"
"Hourly","PH19073113","376.80"
"Block","PB19073114-01","171.90"
"Hourly","PH19073114","432.60"
"Block","PB19073115-01","238.70"
"Hourly","PH19073115","323.10"
"Hourly","PH19073116","239.20"
"Block","PB19073116-01","252.30"
"Hourly","PH19073117","337.60"
"Block","PB19073117-01","305.30"
"Block","PB19073117-07","0.00"
"Block","PB19073117-02","0.00"
"Block","PB19073118-01","232.00"
"Hourly","PH19073118","232.40"
"Block","PB19073119-05","10.00"
"Block","PB19073119-01","229.40"
"Hourly","PH19073119","263.60"
"Block","PB19073120-01","224.50"
"Hourly","PH19073120","266.00"
"Hourly","PH19073121","295.30"
"Block","PB19073121-01","189.20"
"Block","PB19073122-01","147.40"
"Hourly","PH19073122","274.10"
"Hourly","PH19073123","264.90"
"Block","PB19073123-01","167.10"
"Block","PB19080100-01","82.80"
"Hourly","PH19080100","174.10"
"Block","PB19080101-01","112.50"
"Hourly","PH19080101","101.90"
"Block","PB19080102-01","123.90"
"Hourly","PH19080102","120.80"
"Block","PB19080103-01","127.10"
"Hourly","PH19080103","96.10"
"Block","PB19080104-01","138.70"
"Hourly","PH19080104","134.70"
"Hourly","PH19080105","182.70"
"Block","PB19080105-01","144.10"
"Block","PB19080106-01","148.80"
"Hourly","PH19080106","188.00"
"Block","PB19080107-01","375.20"
"Hourly","PH19080107","286.00"
"Block","PB19080108-01","136.40"
"Hourly","PH19080108","170.10"
"Hourly","PH19080109","184.90"
"Block","PB19080109-01","164.30"
"Block","PB19080110-01","213.10"
"Hourly","PH19080110","462.60"
"Hourly","PH19080111","329.90"
"Block","PB19080111-01","205.90"
"Block","PB19080112-01","200.00"
"Hourly","PH19080112","400.00"
"Block","PB19080113-01","181.90"
"Hourly","PH19080113","378.20"
"Block","PB19080114-01","183.90"
"Hourly","PH19080114","356.90"
"Block","PB19080115-01","210.30"
"Hourly","PH19080115","382.60"
"Hourly","PH19080116","386.70"
"Block","PB19080116-01","234.10"
"Block","PB19080117-01","231.40"
"Hourly","PH19080117","345.00"
"Block","PB19080118-01","196.60"
"Hourly","PH19080118","197.30"
"Block","PB19080119-01","178.80"
"Hourly","PH19080119","274.70"
"Block","PB19080120-01","189.40"
"Hourly","PH19080120","267.80"
"Hourly","PH19080121","263.40"
"Block","PB19080121-01","213.70"
"Hourly","PH19080122","243.50"
"Block","PB19080122-01","211.40"
"Block","PB19080123-01","270.70"
"Hourly","PH19080123","227.50"
"Hourly","PH19080200","69.30"
"Block","PB19080200-02","1.50"
"Block","PB19080200-24","0.00"
"Block","PB19080200-01","175.00"
"Block","PB19080200-12","4.20"
"Hourly","PH19080201","80.50"
"Block","PB19080201-01","188.20"
"Hourly","PH19080202","125.60"
"Block","PB19080202-01","215.20"
"Block","PB19080203-01","196.00"
"Hourly","PH19080203","102.10"
"Block","PB19080204-01","190.20"
"Hourly","PH19080204","95.90"
"Block","PB19080205-01","181.20"
"Hourly","PH19080205","71.50"
"Hourly","PH19080206","124.00"
"Block","PB19080206-01","187.70"
"Block","PB19080207-01","167.10"
"Hourly","PH19080207","173.10"
"Hourly","PH19080208","109.80"
"Block","PB19080208-01","181.70"
"Hourly","PH19080209","211.20"
"Block","PB19080209-15","0.00"
"Block","PB19080209-01","193.10"
"Block","PB19080210-01","222.20"
"Hourly","PH19080210","363.50"
"Block","PB19080211-01","320.40"
"Hourly","PH19080211","461.90"
"Hourly","PH19080212","390.90"
"Block","PB19080212-01","283.30"
"Block","PB19080213-01","300.00"
"Hourly","PH19080213","594.00"
"Hourly","PH19080214","402.80"
"Block","PB19080214-01","285.30"
"Hourly","PH19080215","407.20"
"Block","PB19080215-01","255.20"
"Block","PB19080215-04","1.50"
"Block","PB19080216-01","261.70"
"Hourly","PH19080216","530.70"
"Block","PB19080217-01","287.50"
"Hourly","PH19080217","433.00"
"Block","PB19080218-01","288.40"
"Hourly","PH19080218","505.10"
"Hourly","PH19080219","401.40"
"Block","PB19080219-01","286.00"
"Hourly","PH19080220","353.40"
"Block","PB19080220-01","320.60"
"Hourly","PH19080221","379.30"
"Block","PB19080221-01","291.70"
"Hourly","PH19080222","359.70"
"Block","PB19080222-01","318.80"
"Block","PB19080223-01","304.40"
"Hourly","PH19080223","390.30"
"Block","PB19080300-01","156.70"
"Hourly","PH19080300","95.40"
"Block","PB19080301-01","161.40"
"Hourly","PH19080301","129.90"
"Block","PB19080302-01","137.70"
"Hourly","PH19080302","143.80"
"Hourly","PH19080303","136.00"
"Block","PB19080303-01","130.10"
"Block","PB19080304-20","0.70"
"Block","PB19080304-05","0.00"
"Hourly","PH19080304","113.30"
"Block","PB19080304-01","122.30"
"Hourly","PH19080305","117.60"
"Block","PB19080305-01","142.80"
"Block","PB19080306-01","164.40"
"Hourly","PH19080306","128.70"
"Block","PB19080307-01","149.60"
"Hourly","PH19080307","100.10"
"Block","PB19080308-01","121.90"
"Hourly","PH19080308","184.30"
"Hourly","PH19080309","232.30"
"Block","PB19080309-05","1.50"
"Block","PB19080309-01","104.10"
"Hourly","PH19080310","195.40"
"Block","PB19080310-01","98.30"
"Block","PB19080311-01","99.50"
"Hourly","PH19080311","270.00"
"Block","PB19080312-01","116.80"
"Hourly","PH19080312","295.10"
"Block","PB19080313-01","108.10"
"Hourly","PH19080313","707.10"
"Block","PB19080314-01","141.70"
"Hourly","PH19080314","780.00"
"Block","PB19080315-01","153.70"
"Hourly","PH19080315","793.30"
"Block","PB19080316-01","168.80"
"Hourly","PH19080316","889.00"
"Hourly","PH19080317","390.00"
"Block","PB19080317-01","203.10"
"Block","PB19080318-01","241.00"
"Hourly","PH19080318","277.10"
"Block","PB19080319-01","139.70"
"Hourly","PH19080319","304.40"
"Block","PB19080320-01","131.90"
"Hourly","PH19080320","261.90"
