"Contract Type","Contract Name","Trade Value (TL)"
"Hourly","PH19010507","92,765.29"
"Block","PB19010508-16","452.90"
"Hourly","PH19010508","57,044.08"
"Block","PB19010508-15","0.00"
"Block","PB19010508-01","34,768.00"
"Block","PB19010508-04","0.00"
"Block","PB19010509-01","53,806.10"
"Block","PB19010509-02","3,240.00"
"Hourly","PH19010509","53,689.30"
"Hourly","PH19010510","62,645.61"
"Block","PB19010510-01","26,645.70"
"Block","PB19010511-03","34,440.00"
"Block","PB19010511-13","368.52"
"Block","PB19010511-08","3,188.53"
"Block","PB19010511-01","27,880.66"
"Hourly","PH19010511","67,233.78"
"Block","PB19010512-12","0.00"
"Block","PB19010512-04","0.00"
"Block","PB19010512-06","8,472.60"
"Block","PB19010512-01","35,745.66"
"Hourly","PH19010512","65,875.00"
"Block","PB19010513-01","49,044.05"
"Block","PB19010513-02","5,800.00"
"Block","PB19010513-11","0.00"
"Hourly","PH19010513","92,440.27"
"Hourly","PH19010514","132,220.50"
"Block","PB19010514-10","0.00"
"Block","PB19010514-01","30,135.76"
"Block","PB19010515-09","25,920.00"
"Hourly","PH19010515","128,819.73"
"Block","PB19010515-01","34,528.12"
"Block","PB19010516-04","0.00"
"Block","PB19010516-01","32,061.40"
"Hourly","PH19010516","142,476.11"
"Hourly","PH19010517","96,312.60"
"Block","PB19010517-01","23,429.91"
"Block","PB19010517-06","9,720.00"
"Block","PB19010517-03","1,314.00"
"Block","PB19010518-01","26,650.05"
"Hourly","PH19010518","98,611.19"
"Block","PB19010519-01","35,707.97"
"Hourly","PH19010519","99,303.57"
"Hourly","PH19010520","99,199.99"
"Block","PB19010520-01","28,884.67"
"Block","PB19010520-04","0.00"
"Block","PB19010521-01","23,929.62"
"Hourly","PH19010521","120,122.05"
"Block","PB19010522-01","25,655.08"
"Hourly","PH19010522","113,077.98"
"Block","PB19010522-02","2,335.67"
"Hourly","PH19010523","88,121.13"
"Block","PB19010523-01","41,288.30"
"Hourly","PH19010600","75,604.16"
"Block","PB19010600-01","35,702.94"
"Block","PB19010601-01","37,745.38"
"Hourly","PH19010601","61,758.18"
"Block","PB19010602-01","18,619.89"
"Hourly","PH19010602","80,032.92"
"Block","PB19010603-01","18,770.54"
"Hourly","PH19010603","93,938.89"
"Block","PB19010604-01","15,339.78"
"Hourly","PH19010604","71,650.04"
"Hourly","PH19010605","30,111.75"
"Block","PB19010605-01","9,878.89"
"Block","PB19010606-01","9,623.23"
"Hourly","PH19010606","28,247.84"
"Hourly","PH19010607","62,387.75"
"Block","PB19010607-01","22,267.35"
"Block","PB19010608-01","6,378.49"
"Hourly","PH19010608","18,571.36"
"Hourly","PH19010609","34,794.85"
"Block","PB19010609-01","6,693.48"
"Block","PB19010610-01","11,857.20"
"Hourly","PH19010610","64,065.48"
"Block","PB19010611-01","15,781.35"
"Hourly","PH19010611","76,591.85"
"Block","PB19010611-03","774.00"
"Hourly","PH19010612","77,270.11"
"Block","PB19010612-01","19,213.68"
"Block","PB19010613-01","17,262.01"
"Hourly","PH19010613","92,669.65"
"Block","PB19010614-01","11,244.86"
"Hourly","PH19010614","140,849.22"
"Block","PB19010614-03","949.50"
"Block","PB19010615-01","8,841.33"
"Hourly","PH19010615","114,565.45"
"Hourly","PH19010616","144,924.99"
"Block","PB19010616-01","19,728.65"
"Block","PB19010617-01","13,494.82"
"Hourly","PH19010617","171,319.65"
"Hourly","PH19010618","188,110.51"
"Block","PB19010618-03","439.50"
"Block","PB19010618-01","10,079.61"
"Block","PB19010619-01","10,564.31"
"Hourly","PH19010619","182,952.25"
"Block","PB19010619-02","293.00"
"Hourly","PH19010620","190,182.28"
"Block","PB19010620-01","13,529.12"
"Block","PB19010621-01","15,949.14"
"Hourly","PH19010621","168,502.38"
"Block","PB19010621-03","1,728.00"
"Block","PB19010622-01","19,652.34"
"Hourly","PH19010622","123,030.71"
"Block","PB19010623-01","21,541.57"
"Hourly","PH19010623","116,472.22"
"Block","PB19010700-01","6,954.43"
"Hourly","PH19010700","91,289.49"
"Hourly","PH19010701","106,738.87"
"Block","PB19010701-01","12,894.66"
"Block","PB19010702-01","1,775.12"
"Hourly","PH19010702","29,140.49"
"Block","PB19010703-01","4,135.87"
"Hourly","PH19010703","34,921.36"
"Block","PB19010704-01","5,046.33"
"Hourly","PH19010704","9,838.54"
"Hourly","PH19010705","21,648.71"
"Block","PB19010705-01","2,570.86"
