"Contract Type","Contract Name","Trade Value (TL)"
"Block","PB19071812-12","755.57"
"Hourly","PH19071813","198,289.29"
"Block","PB19071813-01","80,313.72"
"Hourly","PH19071814","219,418.81"
"Block","PB19071814-01","66,549.67"
"Block","PB19071815-09","142,200.00"
"Hourly","PH19071815","162,535.59"
"Block","PB19071815-01","71,727.15"
"Block","PB19071816-01","54,242.11"
"Hourly","PH19071816","214,127.47"
"Hourly","PH19071817","198,941.48"
"Block","PB19071817-01","59,297.13"
"Block","PB19071818-01","85,678.16"
"Hourly","PH19071818","216,223.33"
"Hourly","PH19071819","190,427.41"
"Block","PB19071819-01","71,345.33"
"Block","PB19071820-01","67,954.13"
"Hourly","PH19071820","144,256.72"
"Block","PB19071820-04","549.60"
"Block","PB19071821-01","77,009.79"
"Hourly","PH19071821","137,154.29"
"Hourly","PH19071822","98,318.29"
"Block","PB19071822-01","77,029.65"
"Block","PB19071823-01","69,529.22"
"Hourly","PH19071823","121,617.15"
"Block","PB19071900-01","40,174.30"
"Hourly","PH19071900","49,223.01"
"Block","PB19071901-01","47,299.58"
"Hourly","PH19071901","41,804.64"
"Block","PB19071902-01","42,818.13"
"Hourly","PH19071902","35,171.58"
"Block","PB19071903-01","41,316.04"
"Hourly","PH19071903","35,565.59"
"Hourly","PH19071904","54,083.46"
"Block","PB19071904-01","46,072.89"
"Block","PB19071905-01","32,496.27"
"Hourly","PH19071905","26,735.23"
"Block","PB19071906-01","32,741.57"
"Hourly","PH19071906","29,556.50"
"Block","PB19071907-01","39,910.68"
"Hourly","PH19071907","58,040.05"
"Block","PB19071908-01","35,458.60"
"Hourly","PH19071908","57,538.13"
"Hourly","PH19071909","101,964.70"
"Block","PB19071909-01","34,643.12"
"Block","PB19071909-03","2,340.29"
"Block","PB19071910-01","37,148.44"
"Hourly","PH19071910","122,111.93"
"Block","PB19071910-02","7,401.15"
"Block","PB19071911-01","71,147.51"
"Hourly","PH19071911","90,892.65"
"Hourly","PH19071912","117,416.82"
"Block","PB19071912-11","38,720.00"
"Block","PB19071912-01","33,941.02"
"Block","PB19071912-12","5,161.68"
"Hourly","PH19071913","116,189.22"
"Block","PB19071913-01","33,945.83"
"Hourly","PH19071914","111,254.83"
"Block","PB19071914-01","48,553.43"
"Hourly","PH19071915","135,935.02"
"Block","PB19071915-01","60,122.42"
"Hourly","PH19071916","143,138.36"
"Block","PB19071916-01","60,927.83"
"Block","PB19071917-01","76,456.40"
"Hourly","PH19071917","106,560.56"
"Block","PB19071918-01","59,367.68"
"Hourly","PH19071918","109,922.12"
"Hourly","PH19071919","124,712.60"
"Block","PB19071919-01","56,364.13"
"Block","PB19071920-01","57,412.66"
"Hourly","PH19071920","112,811.72"
"Hourly","PH19071921","118,632.96"
"Block","PB19071921-01","44,653.58"
"Hourly","PH19071922","98,818.37"
"Block","PB19071922-01","52,875.02"
"Block","PB19071923-01","53,322.78"
"Hourly","PH19071923","128,572.32"
"Hourly","PH19072000","109,788.98"
"Block","PB19072000-04","76,173.60"
"Block","PB19072000-01","29,965.40"
"Hourly","PH19072001","57,566.51"
"Block","PB19072001-01","29,648.18"
"Hourly","PH19072002","91,157.30"
"Block","PB19072002-01","37,648.65"
"Block","PB19072003-01","31,750.85"
"Hourly","PH19072003","38,208.01"
"Hourly","PH19072004","48,081.82"
"Block","PB19072004-02","6,000.00"
"Block","PB19072004-01","40,142.99"
"Block","PB19072005-01","32,012.08"
"Hourly","PH19072005","24,860.65"
"Block","PB19072006-01","24,335.25"
"Hourly","PH19072006","16,752.77"
"Hourly","PH19072007","68,604.44"
"Block","PB19072007-01","50,505.23"
"Block","PB19072008-01","48,290.30"
"Hourly","PH19072008","151,644.77"
"Hourly","PH19072009","170,450.20"
"Block","PB19072009-01","50,700.35"
"Block","PB19072010-01","49,883.70"
"Hourly","PH19072010","153,336.17"
"Block","PB19072011-01","51,344.20"
"Hourly","PH19072011","227,680.55"
"Block","PB19072012-01","46,497.90"
"Hourly","PH19072012","173,054.94"
"Hourly","PH19072013","195,506.71"
"Block","PB19072013-01","46,144.83"
"Block","PB19072014-01","41,253.90"
"Hourly","PH19072014","123,870.79"
"Block","PB19072015-01","63,974.15"
"Block","PB19072015-09","27,574.20"
"Hourly","PH19072015","130,663.06"
"Hourly","PH19072016","121,369.17"
"Block","PB19072016-01","49,623.00"
"Block","PB19072017-01","48,228.90"
"Hourly","PH19072017","131,613.24"
"Block","PB19072017-03","370.80"
"Block","PB19072018-01","45,121.28"
"Hourly","PH19072018","96,515.79"
"Hourly","PH19072019","93,451.25"
"Block","PB19072019-04","8,820.00"
"Block","PB19072019-01","46,849.49"
"Hourly","PH19072020","104,700.10"
"Block","PB19072020-03","6,615.00"
"Block","PB19072020-04","364.20"
"Block","PB19072020-01","47,965.67"
"Block","PB19072021-01","61,096.98"
"Hourly","PH19072021","98,462.68"
"Block","PB19072022-01","56,875.36"
"Hourly","PH19072022","96,286.52"
"Hourly","PH19072023","106,659.22"
"Block","PB19072023-01","48,324.07"
"Hourly","PH19072100","40,067.15"
"Block","PB19072100-01","32,487.55"
"Hourly","PH19072101","67,601.77"
"Block","PB19072101-01","37,329.36"
"Hourly","PH19072102","56,024.68"
"Block","PB19072102-01","34,084.87"
"Hourly","PH19072103","100,490.18"
"Block","PB19072103-01","30,091.28"
"Hourly","PH19072104","137,015.95"
"Block","PB19072104-01","65,345.89"
"Hourly","PH19072105","53,915.95"
"Block","PB19072105-01","40,612.93"
"Block","PB19072105-19","9,044.00"
"Hourly","PH19072106","28,590.15"
"Block","PB19072106-01","22,617.20"
"Block","PB19072107-01","23,898.97"
"Hourly","PH19072107","29,292.96"
"Hourly","PH19072108","34,035.84"
"Block","PB19072108-01","26,644.27"
"Block","PB19072109-01","16,911.74"
"Hourly","PH19072109","28,851.94"
"Hourly","PH19072110","36,099.53"
"Block","PB19072110-01","25,421.54"
"Block","PB19072111-01","40,472.26"
"Hourly","PH19072111","88,923.21"
"Block","PB19072112-01","41,005.07"
"Hourly","PH19072112","67,659.20"
"Block","PB19072113-01","43,675.77"
"Hourly","PH19072113","64,345.36"
"Hourly","PH19072114","84,046.01"
"Block","PB19072114-01","58,107.74"
"Hourly","PH19072115","74,813.31"
"Block","PB19072115-03","1,389.04"
"Block","PB19072115-01","44,302.19"
"Hourly","PH19072116","85,034.01"
"Block","PB19072116-01","46,065.70"
"Block","PB19072117-01","47,663.05"
"Hourly","PH19072117","98,307.75"
"Hourly","PH19072118","104,394.48"
"Block","PB19072118-01","45,907.59"
"Block","PB19072119-02","1,094.40"
"Hourly","PH19072119","94,957.31"
"Block","PB19072119-01","53,671.49"
"Hourly","PH19072120","100,143.21"
"Block","PB19072120-01","59,550.20"
"Hourly","PH19072121","140,358.73"
"Block","PB19072121-01","74,736.21"
"Block","PB19072122-01","48,778.02"
"Hourly","PH19072122","123,938.80"
"Hourly","PH19072123","112,022.58"
"Block","PB19072123-01","51,957.36"
"Block","PB19072200-01","29,351.38"
"Hourly","PH19072200","70,020.18"
"Block","PB19072201-01","40,415.24"
"Hourly","PH19072201","56,466.54"
"Block","PB19072202-01","35,599.11"
"Hourly","PH19072202","75,988.41"
"Hourly","PH19072203","93,568.64"
"Block","PB19072203-02","1,008.00"
"Block","PB19072203-01","35,217.85"
"Hourly","PH19072204","80,471.91"
"Block","PB19072204-01","38,284.50"
"Hourly","PH19072205","35,359.20"
"Block","PB19072205-01","26,544.26"
"Hourly","PH19072206","39,974.68"
"Block","PB19072206-01","17,646.65"
"Block","PB19072207-01","43,838.29"
"Hourly","PH19072207","87,094.53"
"Block","PB19072208-01","58,301.87"
"Hourly","PH19072208","42,023.66"
"Hourly","PH19072209","37,327.98"
"Block","PB19072209-01","62,503.35"
"Hourly","PH19072210","78,942.50"
"Block","PB19072210-01","56,604.86"
"Block","PB19072211-01","57,903.75"
"Hourly","PH19072211","127,081.08"
"Block","PB19072212-12","152,160.00"
"Block","PB19072212-01","50,116.57"
"Hourly","PH19072212","137,786.55"
"Block","PB19072213-01","62,105.23"
"Hourly","PH19072213","166,922.34"
"Block","PB19072214-02","319.00"
"Block","PB19072214-01","63,151.74"
"Hourly","PH19072214","126,034.59"
"Block","PB19072215-01","49,923.38"
"Hourly","PH19072215","159,580.40"
"Block","PB19072216-01","58,352.91"
"Hourly","PH19072216","177,779.02"
"Hourly","PH19072217","172,637.37"
"Block","PB19072217-01","57,048.96"
"Block","PB19072218-01","50,591.12"
"Hourly","PH19072218","181,763.96"
"Block","PB19072218-06","1,893.72"
"Block","PB19072219-01","54,066.54"
"Hourly","PH19072219","160,694.61"
"Hourly","PH19072220","136,383.11"
"Block","PB19072220-01","55,736.96"
"Block","PB19072220-03","2,385.75"
"Block","PB19072221-01","41,635.71"
"Hourly","PH19072221","125,352.09"
"Hourly","PH19072222","132,838.88"
"Block","PB19072222-01","39,419.73"
"Hourly","PH19072223","122,126.68"
"Block","PB19072223-01","58,856.13"
"Hourly","PH19072300","109,927.37"
"Block","PB19072300-01","42,321.57"
"Block","PB19072301-01","40,102.29"
"Hourly","PH19072301","126,634.41"
"Block","PB19072302-01","43,036.58"
"Hourly","PH19072302","136,835.97"
"Hourly","PH19072303","79,988.25"
"Block","PB19072303-01","44,925.58"
"Hourly","PH19072304","104,782.84"
"Block","PB19072304-01","37,722.58"
"Block","PB19072305-01","37,296.92"
"Hourly","PH19072305","21,303.93"
"Hourly","PH19072306","11,917.40"
"Block","PB19072306-01","28,415.32"
"Block","PB19072307-01","42,982.59"
"Hourly","PH19072307","65,062.62"
"Block","PB19072308-01","43,286.45"
"Hourly","PH19072308","36,747.35"
"Block","PB19072309-01","43,665.55"
"Hourly","PH19072309","79,941.06"
"Block","PB19072310-01","59,146.78"
"Hourly","PH19072310","85,146.17"
"Hourly","PH19072311","127,964.74"
"Block","PB19072311-01","68,367.86"
"Block","PB19072312-02","3,606.40"
"Block","PB19072312-01","80,809.31"
"Hourly","PH19072312","166,065.40"
"Block","PB19072313-01","79,226.97"
"Hourly","PH19072313","159,274.08"
"Block","PB19072314-02","3,696.00"
"Block","PB19072314-01","71,148.75"
"Hourly","PH19072314","167,462.15"
"Block","PB19072315-01","82,234.67"
"Hourly","PH19072315","173,672.22"
"Block","PB19072316-01","117,736.43"
"Block","PB19072316-02","5,518.80"
"Hourly","PH19072316","171,397.04"
"Hourly","PH19072317","203,562.48"
"Block","PB19072317-01","70,239.90"
"Block","PB19072318-01","60,032.19"
"Block","PB19072318-04","64,178.00"
"Hourly","PH19072318","184,544.01"
"Block","PB19072319-01","47,157.73"
"Hourly","PH19072319","133,401.18"
"Block","PB19072320-01","54,792.34"
"Hourly","PH19072320","153,824.94"
"Hourly","PH19072321","139,743.40"
"Block","PB19072321-01","45,877.69"
"Hourly","PH19072322","132,701.57"
"Block","PB19072322-01","48,595.19"
"Block","PB19072323-01","55,853.27"
"Hourly","PH19072323","167,434.67"
"Block","PB19072400-01","41,305.79"
"Hourly","PH19072400","82,465.94"
"Block","PB19072401-01","41,877.30"
"Hourly","PH19072401","71,991.48"
"Block","PB19072402-01","46,516.65"
"Hourly","PH19072402","47,666.84"
"Block","PB19072403-01","49,460.29"
"Hourly","PH19072403","47,978.00"
"Hourly","PH19072404","56,224.65"
"Block","PB19072404-01","52,722.25"
"Block","PB19072405-01","43,041.58"
"Hourly","PH19072405","43,027.35"
"Block","PB19072406-01","49,138.44"
"Hourly","PH19072406","39,212.62"
"Hourly","PH19072407","73,238.63"
"Block","PB19072407-01","52,828.57"
"Hourly","PH19072408","37,611.29"
"Block","PB19072408-01","45,932.15"
"Hourly","PH19072409","39,848.17"
"Block","PB19072409-01","50,971.50"
"Hourly","PH19072410","90,511.47"
"Block","PB19072410-01","41,692.93"
"Hourly","PH19072411","120,891.85"
"Block","PB19072411-01","62,174.02"
"Hourly","PH19072412","161,439.11"
"Block","PB19072412-01","56,818.22"
"Block","PB19072413-01","52,672.50"
"Block","PB19072413-02","638.00"
"Block","PB19072413-06","9,143.40"
"Hourly","PH19072413","196,024.03"
"Hourly","PH19072414","168,845.71"
"Block","PB19072414-01","65,493.36"
"Block","PB19072415-01","62,292.42"
"Hourly","PH19072415","179,651.19"
"Block","PB19072416-01","72,979.11"
"Hourly","PH19072416","180,701.43"
"Hourly","PH19072417","168,369.75"
"Block","PB19072417-01","80,588.72"
"Hourly","PH19072418","135,998.00"
"Block","PB19072418-01","81,587.76"
"Hourly","PH19072419","124,474.71"
"Block","PB19072419-01","70,181.86"
"Block","PB19072420-04","789.60"
"Hourly","PH19072420","114,523.31"
"Block","PB19072420-01","46,046.94"
"Block","PB19072421-01","40,594.88"
"Hourly","PH19072421","106,559.40"
"Hourly","PH19072422","110,444.04"
"Block","PB19072422-01","39,637.67"
"Block","PB19072423-01","52,901.66"
"Hourly","PH19072423","108,149.99"
"Block","PB19072500-01","41,300.77"
"Block","PB19072500-08","1,448.80"
"Hourly","PH19072500","63,442.82"
"Block","PB19072501-01","41,391.77"
"Hourly","PH19072501","59,775.19"
"Block","PB19072502-01","42,329.39"
"Hourly","PH19072502","45,756.56"
"Block","PB19072503-01","41,624.74"
"Hourly","PH19072503","47,302.39"
"Block","PB19072504-01","44,533.32"
"Block","PB19072504-20","42,560.00"
"Hourly","PH19072504","40,229.96"
"Block","PB19072505-01","45,213.14"
"Hourly","PH19072505","44,147.43"
"Block","PB19072506-01","33,465.46"
"Hourly","PH19072506","27,129.13"
"Block","PB19072507-01","47,272.05"
"Hourly","PH19072507","40,505.43"
"Block","PB19072508-03","389.05"
"Block","PB19072508-01","60,979.24"
"Hourly","PH19072508","28,931.86"
"Block","PB19072509-01","56,620.08"
"Hourly","PH19072509","48,192.21"
"Block","PB19072510-01","56,759.22"
"Hourly","PH19072510","105,328.42"
"Block","PB19072511-02","437.34"
"Block","PB19072511-01","54,850.96"
"Hourly","PH19072511","115,179.14"
"Block","PB19072512-01","40,087.11"
"Hourly","PH19072512","141,748.87"
"Block","PB19072513-01","34,142.88"
"Hourly","PH19072513","153,491.06"
"Block","PB19072514-01","42,791.35"
"Block","PB19072514-07","2,099.30"
"Hourly","PH19072514","173,494.74"
"Block","PB19072515-01","46,767.13"
"Hourly","PH19072515","188,552.44"
"Block","PB19072516-01","43,391.11"
"Hourly","PH19072516","153,437.21"
"Block","PB19072517-01","47,086.20"
"Hourly","PH19072517","124,787.18"
"Block","PB19072518-01","42,125.74"
"Hourly","PH19072518","123,336.77"
"Block","PB19072519-01","52,582.92"
"Hourly","PH19072519","77,595.29"
"Block","PB19072520-01","44,778.63"
"Hourly","PH19072520","76,856.67"
"Block","PB19072521-03","816.00"
"Hourly","PH19072521","98,606.17"
"Block","PB19072521-01","43,463.19"
"Block","PB19072522-01","43,642.71"
"Hourly","PH19072522","132,298.40"
"Block","PB19072523-01","42,478.77"
"Hourly","PH19072523","162,803.56"
"Block","PB19072600-01","43,957.41"
"Hourly","PH19072600","42,505.04"
"Block","PB19072601-01","37,878.28"
"Hourly","PH19072601","38,637.70"
"Block","PB19072602-01","45,638.20"
"Block","PB19072602-08","2,163.20"
"Hourly","PH19072602","44,494.32"
"Block","PB19072603-01","40,417.66"
"Hourly","PH19072603","48,856.74"
"Block","PB19072604-01","48,349.29"
"Hourly","PH19072604","54,733.33"
"Block","PB19072605-01","44,703.85"
"Hourly","PH19072605","96,931.40"
"Block","PB19072606-01","37,676.86"
"Hourly","PH19072606","96,398.23"
"Block","PB19072607-01","35,608.18"
"Hourly","PH19072607","87,892.19"
"Block","PB19072608-01","33,299.85"
"Hourly","PH19072608","83,172.03"
"Block","PB19072609-01","41,340.89"
"Hourly","PH19072609","102,171.08"
"Block","PB19072610-10","1,800.00"
"Block","PB19072610-01","36,361.44"
"Hourly","PH19072610","215,367.82"
"Block","PB19072611-01","47,937.10"
"Hourly","PH19072611","130,504.27"
"Block","PB19072612-01","46,289.72"
"Block","PB19072612-06","3,105.60"
"Hourly","PH19072612","139,943.18"
"Block","PB19072613-01","40,755.84"
"Hourly","PH19072613","155,846.28"
"Block","PB19072614-01","45,705.95"
"Hourly","PH19072614","175,375.01"
"Block","PB19072615-01","45,855.64"
"Hourly","PH19072615","203,177.43"
"Block","PB19072616-01","49,694.96"
"Hourly","PH19072616","118,141.45"
"Block","PB19072617-01","46,799.49"
"Hourly","PH19072617","158,466.25"
"Hourly","PH19072618","138,805.06"
"Block","PB19072618-01","51,695.65"
"Block","PB19072619-01","51,769.67"
"Hourly","PH19072619","110,425.26"
"Block","PB19072620-04","916.40"
"Block","PB19072620-01","53,709.28"
"Hourly","PH19072620","105,941.72"
"Block","PB19072621-01","46,172.62"
"Hourly","PH19072621","93,386.54"
"Block","PB19072622-01","47,409.54"
"Hourly","PH19072622","99,138.04"
"Block","PB19072623-01","53,953.18"
"Hourly","PH19072623","102,701.72"
"Hourly","PH19072700","54,430.17"
"Block","PB19072700-01","41,814.75"
"Block","PB19072700-04","511.60"
"Hourly","PH19072701","51,396.53"
"Block","PB19072701-01","35,851.30"
"Block","PB19072702-01","46,662.93"
"Hourly","PH19072702","35,522.32"
"Block","PB19072703-01","37,075.11"
"Hourly","PH19072703","40,175.16"
"Hourly","PH19072706","21,478.99"
"Block","PB19072706-06","752.40"
"Block","PB19072706-01","33,995.85"
"Block","PB19072707-01","37,002.06"
"Hourly","PH19072707","49,591.47"
"Hourly","PH19072708","39,679.72"
"Block","PB19072708-01","50,451.81"
"Hourly","PH19072709","36,155.33"
"Block","PB19072709-01","46,077.82"
"Hourly","PH19072710","38,008.26"
"Block","PB19072710-01","44,510.34"
"Block","PB19072711-01","41,678.38"
"Hourly","PH19072711","44,825.46"
"Block","PB19072712-08","811.20"
"Block","PB19072712-01","51,172.95"
"Hourly","PH19072712","28,781.49"
"Block","PB19072713-01","50,891.48"
"Hourly","PH19072713","47,060.29"
"Block","PB19072714-01","57,573.69"
"Hourly","PH19072714","73,427.85"
"Block","PB19072715-01","66,427.03"
"Hourly","PH19072715","95,289.15"
"Hourly","PH19072716","83,116.98"
"Block","PB19072716-02","1,920.00"
"Block","PB19072716-01","74,405.91"
"Block","PB19072717-01","80,062.52"
"Hourly","PH19072717","73,174.45"
"Block","PB19072718-01","76,301.84"
"Hourly","PH19072718","90,482.50"
"Block","PB19072719-01","77,996.89"
"Hourly","PH19072719","71,557.35"
"Block","PB19072720-01","64,234.78"
"Block","PB19072720-04","600.40"
"Hourly","PH19072720","55,635.85"
"Block","PB19072721-01","61,661.77"
"Hourly","PH19072721","52,920.55"
"Block","PB19072722-01","53,233.59"
"Hourly","PH19072722","67,248.83"
"Block","PB19072723-01","51,158.56"
"Hourly","PH19072723","80,089.55"
"Hourly","PH19072800","52,647.17"
"Block","PB19072800-06","1,132.80"
"Block","PB19072800-01","35,233.24"
"Hourly","PH19072801","63,900.11"
"Block","PB19072801-01","31,278.09"
"Hourly","PH19072802","62,507.77"
"Block","PB19072802-01","36,018.71"
"Block","PB19072803-01","48,555.83"
"Hourly","PH19072803","77,231.70"
"Hourly","PH19072804","51,143.52"
"Block","PB19072804-01","44,304.37"
"Block","PB19072805-01","40,690.61"
"Hourly","PH19072805","62,719.62"
"Block","PB19072806-01","35,001.87"
"Hourly","PH19072806","53,822.59"
"Hourly","PH19072807","79,172.98"
"Block","PB19072807-01","33,770.05"
"Block","PB19072808-01","28,505.15"
"Hourly","PH19072808","80,741.11"
"Block","PB19072809-01","19,920.16"
"Hourly","PH19072809","35,248.50"
"Block","PB19072810-01","27,640.03"
"Hourly","PH19072810","76,946.28"
"Hourly","PH19072811","96,772.15"
"Block","PB19072811-09","1,735.20"
"Block","PB19072811-01","33,540.65"
"Block","PB19072812-01","36,834.56"
"Hourly","PH19072812","96,031.78"
"Block","PB19072812-12","6,067.20"
"Block","PB19072813-01","43,926.41"
"Hourly","PH19072813","85,900.71"
"Block","PB19072814-01","43,252.24"
"Hourly","PH19072814","83,974.82"
"Hourly","PH19072815","84,534.77"
"Block","PB19072815-01","41,183.71"
"Hourly","PH19072816","106,455.50"
"Block","PB19072816-01","36,112.60"
"Block","PB19072817-01","33,741.10"
"Hourly","PH19072817","118,818.20"
"Hourly","PH19072818","93,018.06"
"Block","PB19072818-01","35,900.53"
"Hourly","PH19072819","107,321.40"
"Block","PB19072819-01","49,541.80"
"Block","PB19072819-05","814.00"
"Block","PB19072820-04","4,300.00"
"Hourly","PH19072820","104,274.97"
"Block","PB19072820-01","73,039.82"
"Block","PB19072821-01","79,130.19"
"Hourly","PH19072821","94,248.18"
"Block","PB19072822-01","89,788.02"
"Hourly","PH19072822","142,649.03"
"Block","PB19072823-01","89,983.56"
"Hourly","PH19072823","91,649.55"
"Block","PB19072900-01","30,737.49"
"Hourly","PH19072900","30,014.55"
"Block","PB19072900-11","1,961.30"
"Block","PB19072901-05","1,103.50"
"Block","PB19072901-01","23,577.58"
"Hourly","PH19072901","42,074.00"
"Hourly","PH19072902","56,443.20"
"Block","PB19072902-01","24,849.05"
"Hourly","PH19072903","44,166.91"
"Block","PB19072903-01","22,935.77"
"Hourly","PH19072904","43,404.81"
"Block","PB19072904-01","18,312.15"
"Hourly","PH19072905","50,083.58"
"Block","PB19072905-01","15,467.61"
"Block","PB19072906-01","18,413.79"
"Hourly","PH19072906","92,476.24"
"Block","PB19072907-01","17,003.25"
"Hourly","PH19072907","85,776.05"
"Block","PB19072908-01","22,282.48"
"Hourly","PH19072908","23,530.01"
"Hourly","PH19072909","37,539.90"
"Block","PB19072909-01","26,323.94"
"Block","PB19072910-01","41,918.24"
"Hourly","PH19072910","67,656.48"
"Hourly","PH19072911","54,882.54"
"Block","PB19072911-01","54,163.14"
"Block","PB19072911-02","400.80"
"Hourly","PH19072912","85,801.72"
"Block","PB19072912-07","112,836.50"
"Block","PB19072912-01","47,610.20"
"Block","PB19072912-03","0.00"
"Hourly","PH19072913","103,809.22"
"Block","PB19072913-03","0.00"
"Block","PB19072913-07","21,000.00"
"Block","PB19072913-01","45,424.14"
"Hourly","PH19072914","155,469.08"
"Block","PB19072914-01","33,518.02"
"Block","PB19072915-01","35,354.64"
"Hourly","PH19072915","176,736.67"
"Hourly","PH19072916","139,156.07"
"Block","PB19072916-01","59,662.27"
"Block","PB19072917-01","64,174.08"
"Hourly","PH19072917","149,386.17"
"Block","PB19072918-01","61,123.31"
"Hourly","PH19072918","131,636.41"
"Hourly","PH19072919","97,881.15"
"Block","PB19072919-05","1,055.50"
"Block","PB19072919-01","45,877.95"
"Block","PB19072920-01","50,455.13"
"Hourly","PH19072920","92,005.90"
"Hourly","PH19072921","92,350.59"
"Block","PB19072921-01","46,157.57"
"Hourly","PH19072922","89,131.14"
"Block","PB19072922-01","42,958.05"
"Hourly","PH19072923","79,687.89"
"Block","PB19072923-01","47,453.51"
"Hourly","PH19073000","72,030.22"
"Block","PB19073000-06","6,711.12"
"Block","PB19073000-01","33,360.38"
"Block","PB19073001-01","30,120.41"
"Block","PB19073001-05","6,510.00"
"Hourly","PH19073001","66,313.25"
"Block","PB19073002-01","28,684.45"
"Hourly","PH19073002","55,671.70"
"Hourly","PH19073003","39,364.80"
"Block","PB19073003-01","22,453.38"
"Hourly","PH19073004","32,573.88"
"Block","PB19073004-01","19,109.31"
"Block","PB19073005-01","16,732.77"
"Hourly","PH19073005","38,649.12"
"Block","PB19073006-01","19,357.12"
"Hourly","PH19073006","33,220.80"
"Block","PB19073007-01","20,078.37"
"Hourly","PH19073007","27,158.74"
"Hourly","PH19073008","16,861.76"
"Block","PB19073008-01","20,012.39"
"Block","PB19073008-12","2,312.40"
"Block","PB19073008-03","3,840.00"
"Hourly","PH19073009","22,874.92"
"Block","PB19073009-01","16,532.09"
"Hourly","PH19073010","61,905.75"
"Block","PB19073010-02","8,455.20"
"Block","PB19073010-01","14,879.94"
"Hourly","PH19073011","77,676.46"
"Block","PB19073011-01","47,015.96"
"Hourly","PH19073012","92,086.99"
"Block","PB19073012-12","30,144.00"
"Block","PB19073012-01","52,545.64"
"Hourly","PH19073013","80,844.66"
"Block","PB19073013-01","51,263.72"
"Block","PB19073014-01","79,310.32"
"Hourly","PH19073014","123,437.97"
"Block","PB19073015-01","59,660.46"
"Block","PB19073015-09","8,773.38"
"Hourly","PH19073015","104,464.69"
"Hourly","PH19073016","114,647.41"
"Block","PB19073016-01","56,590.08"
"Hourly","PH19073017","65,219.64"
"Block","PB19073017-01","44,159.60"
"Hourly","PH19073018","90,085.13"
"Block","PB19073018-01","39,900.97"
"Block","PB19073019-02","1,946.25"
"Block","PB19073019-01","39,082.20"
"Hourly","PH19073019","101,368.21"
"Block","PB19073020-04","513.60"
"Block","PB19073020-01","33,524.40"
"Hourly","PH19073020","103,102.48"
"Hourly","PH19073021","90,930.65"
"Block","PB19073021-01","35,269.93"
"Block","PB19073022-01","35,580.64"
"Hourly","PH19073022","132,756.32"
"Block","PB19073023-01","36,523.24"
"Hourly","PH19073023","96,173.72"
"Block","PB19073100-01","33,008.45"
"Hourly","PH19073100","24,476.10"
"Block","PB19073101-01","31,150.47"
"Hourly","PH19073101","50,915.20"
"Block","PB19073102-01","29,539.83"
"Hourly","PH19073102","35,337.57"
"Block","PB19073103-01","27,740.07"
"Hourly","PH19073103","23,010.05"
"Block","PB19073103-06","376.80"
"Block","PB19073104-20","4,522.00"
"Hourly","PH19073104","25,470.26"
"Block","PB19073104-01","28,086.84"
"Block","PB19073105-01","24,468.31"
"Hourly","PH19073105","38,423.09"
"Block","PB19073106-01","31,141.69"
"Hourly","PH19073106","71,835.96"
"Hourly","PH19073107","40,324.79"
"Block","PB19073107-01","27,015.64"
"Hourly","PH19073108","33,924.11"
"Block","PB19073108-01","33,467.60"
"Block","PB19073109-11","2,161.50"
"Block","PB19073109-01","30,141.52"
"Hourly","PH19073109","33,827.01"
"Hourly","PH19073110","77,844.61"
"Block","PB19073110-01","42,929.49"
"Block","PB19073111-01","46,748.46"
"Hourly","PH19073111","100,174.29"
"Hourly","PH19073112","100,402.47"
"Block","PB19073112-12","19,800.00"
"Block","PB19073112-01","39,529.62"
"Block","PB19073113-01","48,128.14"
"Hourly","PH19073113","127,580.37"
"Block","PB19073114-01","46,672.07"
"Hourly","PH19073114","149,445.17"
"Block","PB19073115-01","69,401.73"
"Hourly","PH19073115","111,667.66"
"Hourly","PH19073116","82,771.45"
"Block","PB19073116-01","74,744.39"
"Hourly","PH19073117","117,957.94"
"Block","PB19073117-01","90,617.89"
"Block","PB19073117-07","0.00"
"Block","PB19073117-02","0.00"
"Block","PB19073118-01","64,000.66"
"Hourly","PH19073118","80,249.93"
"Block","PB19073119-05","948.00"
"Block","PB19073119-01","65,902.56"
"Hourly","PH19073119","90,637.60"
"Block","PB19073120-01","66,334.78"
"Hourly","PH19073120","90,186.76"
"Hourly","PH19073121","100,659.23"
"Block","PB19073121-01","56,233.08"
"Block","PB19073122-01","43,794.44"
"Hourly","PH19073122","92,442.85"
"Hourly","PH19073123","87,731.73"
"Block","PB19073123-01","49,520.10"
"Block","PB19080100-01","23,513.25"
"Hourly","PH19080100","56,033.84"
"Block","PB19080101-01","33,389.19"
"Hourly","PH19080101","32,891.66"
"Block","PB19080102-01","35,981.30"
"Hourly","PH19080102","38,919.73"
"Block","PB19080103-01","36,274.21"
"Hourly","PH19080103","30,436.32"
"Block","PB19080104-01","37,528.13"
"Hourly","PH19080104","40,935.79"
"Hourly","PH19080105","47,872.95"
"Block","PB19080105-01","34,784.52"
"Block","PB19080106-01","35,995.12"
"Hourly","PH19080106","49,173.01"
"Block","PB19080107-01","106,763.40"
"Hourly","PH19080107","84,400.57"
"Block","PB19080108-01","37,455.94"
"Hourly","PH19080108","54,633.37"
"Hourly","PH19080109","59,218.42"
"Block","PB19080109-01","46,634.90"
"Block","PB19080110-01","63,783.71"
"Hourly","PH19080110","152,060.76"
"Hourly","PH19080111","108,411.93"
