"Contract Type","Contract Name","Min. Offer Price (TL/MWh)","Max. Offer Price (TL/MWh)"
"Block","PB19010819-01","286.00","303.33"
"Hourly","PH19010819","285.67","1,250.00"
"Block","PB19010820-01","290.00","299.65"
"Hourly","PH19010820","282.19","360.00"
"Block","PB19010821-01","288.00","294.11"
"Hourly","PH19010821","288.00","358.00"
"Block","PB19010822-01","286.00","291.07"
"Hourly","PH19010822","277.61","356.00"
"Block","PB19010823-01","278.00","284.01"
"Hourly","PH19010823","269.77","358.00"
"Block","PB19010900-01","189.00","198.74"
"Block","PB19010900-12","195.10","195.10"
"Hourly","PH19010900","180.00","200.00"
"Hourly","PH19010901","180.00","330.00"
"Block","PB19010901-01","192.00","198.75"
"Block","PB19010902-01","126.33","126.33"
"Hourly","PH19010902","112.01","300.00"
"Hourly","PH19010903","192.79","330.00"
"Block","PB19010903-01","197.95","198.75"
"Block","PB19010904-01","44.91","46.12"
"Hourly","PH19010904","42.06","220.00"
"Hourly","PH19010905","48.50","220.00"
"Block","PB19010905-01","50.00","54.00"
"Block","PB19010906-01","190.00","192.26"
"Hourly","PH19010906","184.30","289.90"
"Block","PB19010907-01","199.00","232.12"
"Hourly","PH19010907","225.00","340.00"
"Block","PB19010908-01","282.00","288.89"
"Hourly","PH19010908","280.22","354.00"
"Block","PB19010909-01","290.00","296.20"
"Hourly","PH19010909","90.26","360.00"
"Block","PB19010910-01","289.34","295.00"
"Block","PB19010910-03","290.00","290.00"
"Hourly","PH19010910","280.66","339.00"
"Block","PB19010911-04","282.17","282.17"
"Block","PB19010911-01","291.59","320.00"
"Hourly","PH19010911","282.84","360.99"
"Block","PB19010912-03","274.10","274.10"
"Hourly","PH19010912","276.88","355.00"
"Block","PB19010912-08","320.00","320.00"
"Block","PB19010912-01","285.44","290.58"
"Block","PB19010913-01","266.21","277.19"
"Hourly","PH19010913","258.22","326.00"
"Block","PB19010914-01","285.43","285.43"
"Hourly","PH19010914","263.51","355.00"
"Block","PB19010915-04","276.13","276.13"
"Block","PB19010915-01","229.01","260.00"
"Hourly","PH19010915","230.01","319.00"
"Block","PB19010916-01","285.00","1,999.00"
"Hourly","PH19010916","240.90","2,000.00"
"Block","PB19010917-01","276.05","290.36"
"Hourly","PH19010917","210.00","2,000.00"
"Block","PB19010918-01","249.01","287.59"
"Hourly","PH19010918","250.00","357.00"
"Hourly","PH19010919","250.00","1,000.00"
"Block","PB19010919-01","284.02","285.02"
"Block","PB19010919-05","178.00","178.00"
"Hourly","PH19010920","120.00","1,263.40"
"Block","PB19010920-01","39.95","150.00"
"Block","PB19010920-04","290.00","290.00"
"Block","PB19010921-01","252.53","259.00"
"Hourly","PH19010921","250.00","998.00"
"Hourly","PH19010922","223.20","333.00"
"Block","PB19010922-01","243.31","243.98"
"Block","PB19010923-01","4.41","290.00"
"Hourly","PH19010923","4.06","1,000.00"
"Hourly","PH19011000","4.00","30.00"
"Block","PB19011000-01","4.42","4.42"
"Block","PB19011000-03","4.40","4.40"
"Block","PB19011001-01","4.42","4.42"
"Hourly","PH19011001","4.00","250.00"
"Hourly","PH19011002","4.00","200.00"
"Block","PB19011002-01","4.31","4.31"
"Block","PB19011003-03","2.50","2.50"
"Hourly","PH19011003","1.00","200.00"
"Block","PB19011003-01","0.50","2.25"
"Hourly","PH19011004","1.00","200.00"
"Block","PB19011004-01","0.50","2.23"
"Hourly","PH19011005","1.00","200.00"
"Block","PB19011005-01","0.51","2.26"
"Block","PB19011006-01","2.13","4.42"
"Hourly","PH19011006","3.00","200.00"
"Block","PB19011007-01","169.51","179.97"
"Hourly","PH19011007","165.00","300.00"
"Block","PB19011008-01","258.47","259.47"
"Hourly","PH19011008","178.99","350.00"
"Hourly","PH19011009","265.00","353.00"
"Block","PB19011009-01","272.83","273.83"
"Hourly","PH19011010","285.82","366.00"
"Block","PB19011010-01","290.00","296.65"
"Block","PB19011011-01","298.00","298.02"
"Hourly","PH19011011","280.00","368.00"
"Block","PB19011012-01","181.04","182.00"
"Hourly","PH19011012","166.02","300.00"
"Block","PB19011013-01","160.50","179.99"
"Hourly","PH19011013","131.00","300.00"
"Block","PB19011014-01","210.00","258.00"
"Hourly","PH19011014","160.00","338.00"
"Block","PB19011014-03","272.00","272.00"
"Block","PB19011015-02","279.67","279.67"
"Block","PB19011015-01","255.00","263.64"
"Hourly","PH19011015","240.00","343.00"
"Hourly","PH19011016","260.15","365.00"
"Block","PB19011016-01","287.00","295.70"
"Hourly","PH19011017","265.00","400.00"
"Block","PB19011017-02","296.81","296.81"
"Block","PB19011017-01","276.80","297.88"
"Block","PB19011018-01","244.00","295.75"
"Block","PB19011018-03","228.00","228.00"
"Hourly","PH19011018","245.00","365.00"
"Hourly","PH19011019","160.00","300.00"
"Block","PB19011019-01","169.00","200.00"
"Block","PB19011019-05","162.93","162.93"
"Block","PB19011020-01","168.56","188.99"
"Hourly","PH19011020","150.00","300.00"
"Hourly","PH19011021","150.00","300.00"
"Block","PB19011021-01","164.30","180.00"
"Hourly","PH19011022","55.00","500.00"
"Block","PB19011022-01","56.69","61.00"
"Hourly","PH19011023","63.00","300.00"
"Block","PB19011023-01","184.67","188.98"
"Hourly","PH19011100","1.00","200.00"
"Block","PB19011100-01","2.01","9.39"
"Block","PB19011100-24","180.21","180.21"
"Hourly","PH19011101","1.00","291.00"
"Block","PB19011101-01","2.01","3.01"
"Block","PB19011102-01","0.51","3.98"
"Hourly","PH19011102","0.00","200.00"
"Block","PB19011103-01","0.50","0.50"
"Hourly","PH19011103","0.00","200.00"
"Hourly","PH19011104","0.00","291.00"
"Block","PB19011104-01","0.50","1.50"
"Block","PB19011105-01","0.50","0.50"
"Hourly","PH19011105","0.00","200.00"
"Block","PB19011106-01","4.42","4.42"
"Hourly","PH19011106","1.00","200.00"
"Hourly","PH19011107","164.16","300.00"
"Block","PB19011107-01","179.56","179.56"
"Hourly","PH19011108","242.17","350.00"
"Block","PB19011108-01","260.00","283.00"
"Block","PB19011109-01","269.98","290.00"
"Hourly","PH19011109","251.85","340.00"
"Block","PB19011110-01","263.63","301.00"
"Hourly","PH19011110","245.69","320.00"
"Block","PB19011111-01","300.00","320.97"
"Hourly","PH19011111","293.00","363.00"
"Block","PB19011112-01","224.25","225.00"
"Hourly","PH19011112","207.50","300.00"
"Block","PB19011113-01","50.00","69.00"
"Hourly","PH19011113","48.51","200.00"
"Block","PB19011114-01","250.00","258.00"
"Hourly","PH19011114","240.00","330.00"
"Block","PB19011115-01","254.05","262.91"
"Hourly","PH19011115","244.03","330.00"
"Block","PB19011116-01","255.01","301.32"
"Hourly","PH19011116","255.00","361.00"
"Block","PB19011117-01","269.00","306.98"
"Hourly","PH19011117","202.99","370.00"
"Block","PB19011118-06","272.62","272.62"
"Hourly","PH19011118","270.00","370.00"
"Block","PB19011118-01","284.00","306.97"
"Block","PB19011119-01","289.13","301.98"
"Hourly","PH19011119","270.00","370.00"
"Block","PB19011120-01","299.85","324.00"
"Hourly","PH19011120","33.95","1,000.00"
"Block","PB19011121-01","257.99","271.93"
"Hourly","PH19011121","250.00","1,000.00"
"Block","PB19011122-01","244.00","258.00"
"Hourly","PH19011122","230.54","1,000.00"
"Block","PB19011123-01","219.99","229.85"
"Hourly","PH19011123","205.00","1,000.00"
"Block","PB19011200-01","184.08","199.01"
"Hourly","PH19011200","185.00","300.00"
"Block","PB19011201-01","180.00","198.00"
"Hourly","PH19011201","180.00","300.00"
"Block","PB19011202-01","119.01","126.34"
"Hourly","PH19011202","95.00","300.00"
"Block","PB19011203-01","180.01","190.00"
"Hourly","PH19011203","10.00","300.00"
"Hourly","PH19011204","13.01","300.00"
"Block","PB19011204-01","99.00","126.33"
"Hourly","PH19011205","15.01","300.00"
"Block","PB19011205-01","146.00","149.99"
"Block","PB19011206-01","194.28","199.98"
"Hourly","PH19011206","101.00","320.00"
"Block","PB19011207-01","143.00","174.74"
"Hourly","PH19011207","101.00","305.00"
"Hourly","PH19011208","194.99","350.00"
"Block","PB19011208-01","206.94","224.24"
"Block","PB19011209-01","263.00","299.57"
"Hourly","PH19011209","40.00","380.00"
