"Contract Type","Contract Name","Min. Offer Price (TL/MWh)","Max. Offer Price (TL/MWh)"
"Block","PB19081002-01","91.99","320.07"
"Block","PB19081003-01","83.38","320.86"
"Hourly","PH19081003","300.00","420.00"
"Hourly","PH19081004","300.00","419.00"
"Block","PB19081004-01","84.03","329.26"
"Block","PB19081005-01","75.62","327.89"
"Hourly","PH19081005","305.00","415.00"
"Hourly","PH19081006","305.00","400.00"
"Block","PB19081006-01","75.36","326.49"
"Hourly","PH19081007","240.00","360.00"
"Block","PB19081007-01","79.81","327.63"
"Block","PB19081008-01","77.34","317.41"
"Hourly","PH19081008","240.00","360.00"
"Hourly","PH19081009","270.00","315.50"
"Block","PB19081009-01","71.62","299.99"
"Block","PB19081010-07","316.00","316.00"
"Block","PB19081010-14","300.00","300.00"
"Hourly","PH19081010","250.00","399.00"
"Block","PB19081010-01","75.64","316.00"
"Hourly","PH19081011","260.00","399.00"
"Block","PB19081011-01","75.75","316.00"
"Block","PB19081011-13","300.00","300.00"
"Hourly","PH19081012","271.00","390.00"
"Block","PB19081012-01","85.46","316.00"
"Block","PB19081013-11","307.00","307.00"
"Block","PB19081013-01","81.00","295.00"
"Hourly","PH19081013","270.00","389.90"
"Hourly","PH19081014","269.00","368.00"
"Block","PB19081014-01","79.64","316.00"
"Block","PB19081015-02","316.00","316.00"
"Block","PB19081015-01","75.73","266.00"
"Hourly","PH19081015","230.00","360.00"
"Hourly","PH19081016","260.00","390.00"
"Block","PB19081016-01","70.69","292.10"
"Hourly","PH19081017","290.05","415.00"
"Block","PB19081017-01","70.23","320.00"
"Hourly","PH19081018","302.32","418.00"
"Block","PB19081018-06","315.00","315.00"
"Block","PB19081018-01","77.48","318.42"
"Hourly","PH19081019","302.00","421.00"
"Block","PB19081019-01","80.64","331.14"
"Hourly","PH19081020","290.50","420.00"
"Block","PB19081020-01","77.34","333.96"
"Block","PB19081021-01","73.87","333.04"
"Hourly","PH19081021","286.20","399.00"
"Block","PB19081022-01","71.36","322.09"
"Hourly","PH19081022","270.00","399.00"
"Block","PB19081023-01","77.95","327.15"
"Hourly","PH19081023","304.00","417.00"
"Block","PB19081100-01","92.54","301.57"
"Hourly","PH19081100","275.50","401.00"
"Block","PB19081100-07","230.00","230.00"
"Block","PB19081100-08","220.00","220.00"
"Hourly","PH19081101","280.00","394.01"
"Block","PB19081101-01","104.90","301.32"
"Block","PB19081102-03","130.00","130.00"
"Hourly","PH19081102","165.00","399.00"
"Block","PB19081102-01","74.65","165.00"
"Hourly","PH19081103","149.00","250.00"
"Block","PB19081103-01","77.52","150.00"
"Hourly","PH19081104","70.00","140.00"
"Block","PB19081104-01","72.09","134.32"
"Block","PB19081105-01","70.37","280.01"
"Hourly","PH19081105","270.00","380.00"
"Hourly","PH19081106","250.00","358.00"
"Block","PB19081106-01","77.98","258.59"
"Hourly","PH19081107","215.00","350.00"
"Block","PB19081107-01","77.45","250.01"
"Block","PB19081108-07","3.00","3.00"
"Hourly","PH19081108","5.00","100.00"
"Block","PB19081108-09","3.00","3.00"
"Block","PB19081108-01","4.84","5.00"
"Hourly","PH19081109","1.00","160.00"
"Block","PB19081109-01","1.00","1.00"
"Block","PB19081110-01","0.99","5.95"
"Block","PB19081110-04","1.00","1.00"
"Hourly","PH19081110","0.99","160.00"
"Block","PB19081111-01","1.00","3.99"
"Hourly","PH19081111","1.00","160.00"
"Hourly","PH19081112","1.00","160.00"
"Block","PB19081112-01","1.00","4.99"
"Block","PB19081112-07","1.00","1.00"
"Block","PB19081113-01","1.01","3.00"
"Hourly","PH19081113","1.01","350.00"
"Hourly","PH19081114","2.00","160.00"
"Block","PB19081114-01","2.00","4.84"
"Block","PB19081115-01","4.99","5.90"
"Hourly","PH19081115","2.00","61.95"
"Block","PB19081115-02","8.00","8.00"
"Hourly","PH19081116","6.00","48.91"
"Block","PB19081116-01","10.00","11.50"
"Block","PB19081117-01","78.26","165.98"
"Hourly","PH19081117","155.11","299.00"
"Hourly","PH19081118","218.00","338.00"
"Block","PB19081118-01","83.58","300.87"
"Block","PB19081119-01","71.13","312.81"
"Hourly","PH19081119","260.00","308.62"
"Hourly","PH19081120","294.20","402.00"
"Block","PB19081120-01","70.31","350.00"
"Hourly","PH19081121","294.90","399.00"
"Block","PB19081121-01","77.68","321.00"
"Block","PB19081122-01","73.53","320.50"
"Hourly","PH19081122","293.00","399.00"
"Hourly","PH19081123","250.00","359.00"
"Block","PB19081123-01","70.92","267.80"
"Block","PB19081200-01","80.83","241.00"
"Hourly","PH19081200","232.61","340.00"
"Block","PB19081201-01","72.59","295.96"
"Hourly","PH19081201","280.00","399.00"
"Hourly","PH19081202","240.68","344.00"
"Block","PB19081202-01","81.28","244.00"
"Block","PB19081203-01","77.20","195.00"
"Hourly","PH19081203","181.00","295.00"
"Block","PB19081204-01","85.85","308.99"
"Hourly","PH19081204","240.00","359.00"
"Hourly","PH19081205","200.00","306.00"
"Block","PB19081205-01","71.44","206.00"
"Block","PB19081206-01","43.65","45.00"
"Hourly","PH19081206","40.10","145.00"
"Block","PB19081207-01","76.42","170.00"
"Hourly","PH19081207","160.00","270.00"
"Block","PB19081208-01","85.47","136.78"
"Hourly","PH19081208","100.00","200.00"
"Block","PB19081209-02","10.00","10.00"
"Hourly","PH19081209","10.00","110.00"
"Block","PB19081209-01","10.00","10.00"
"Block","PB19081210-01","10.00","25.74"
"Hourly","PH19081210","10.00","110.00"
"Hourly","PH19081211","100.00","200.00"
"Block","PB19081211-01","74.67","135.41"
"Hourly","PH19081212","145.50","250.00"
"Block","PB19081212-01","73.31","176.00"
"Block","PB19081213-02","101.00","101.00"
"Block","PB19081213-01","71.56","138.77"
"Hourly","PH19081213","98.01","200.00"
"Block","PB19081214-01","76.37","137.40"
"Hourly","PH19081214","98.00","200.00"
"Block","PB19081215-01","71.64","175.90"
"Hourly","PH19081215","145.10","250.00"
"Block","PB19081216-01","88.34","271.00"
"Hourly","PH19081216","245.10","355.00"
"Block","PB19081217-01","72.91","306.00"
"Hourly","PH19081217","285.00","395.00"
"Block","PB19081218-01","72.29","309.99"
"Hourly","PH19081218","291.70","400.00"
"Block","PB19081219-01","72.56","314.98"
"Hourly","PH19081219","295.00","401.00"
"Block","PB19081220-01","77.73","340.89"
"Hourly","PH19081220","31.00","409.00"
"Hourly","PH19081221","303.00","408.00"
"Block","PB19081221-01","82.43","335.99"
"Block","PB19081222-02","309.00","309.00"
"Block","PB19081222-01","92.22","331.00"
"Hourly","PH19081222","300.00","406.00"
"Hourly","PH19081223","31.00","405.00"
"Block","PB19081223-01","74.89","338.95"
"Block","PB19081300-01","73.94","301.45"
"Hourly","PH19081300","299.85","401.00"
"Block","PB19081301-01","96.75","301.87"
"Hourly","PH19081301","300.00","401.00"
"Hourly","PH19081302","287.00","397.00"
"Block","PB19081302-01","75.75","297.16"
"Hourly","PH19081303","280.00","397.00"
"Block","PB19081303-01","79.62","311.99"
"Hourly","PH19081304","195.00","336.00"
"Block","PB19081304-01","72.90","237.87"
"Block","PB19081305-01","85.80","237.87"
"Hourly","PH19081305","234.00","337.00"
"Block","PB19081306-01","72.48","164.89"
"Hourly","PH19081306","161.00","264.00"
"Block","PB19081307-01","71.47","165.00"
"Hourly","PH19081307","160.00","264.00"
"Hourly","PH19081308","150.00","250.00"
"Block","PB19081308-01","70.75","150.00"
"Block","PB19081309-01","50.01","53.50"
"Hourly","PH19081309","50.00","249.00"
"Block","PB19081310-01","72.16","183.40"
"Hourly","PH19081310","170.00","276.00"
"Block","PB19081311-01","80.92","314.39"
"Hourly","PH19081311","300.00","400.00"
"Block","PB19081311-05","312.00","312.00"
"Block","PB19081312-01","84.87","240.98"
"Hourly","PH19081312","235.00","337.00"
"Hourly","PH19081313","237.15","335.00"
"Block","PB19081313-01","76.56","1,020.00"
"Block","PB19081314-01","70.55","249.80"
"Hourly","PH19081314","237.00","337.00"
"Hourly","PH19081315","247.13","350.00"
"Block","PB19081315-01","92.77","250.01"
"Block","PB19081316-01","77.26","301.11"
"Hourly","PH19081316","282.30","400.00"
"Hourly","PH19081317","289.40","399.00"
"Block","PB19081317-01","81.31","303.58"
"Hourly","PH19081318","282.00","407.00"
"Block","PB19081318-01","78.09","310.88"
"Hourly","PH19081319","290.00","399.00"
"Block","PB19081319-01","78.89","310.24"
"Hourly","PH19081320","304.60","399.00"
"Block","PB19081320-01","78.17","330.90"
"Hourly","PH19081321","303.01","413.00"
"Block","PB19081321-01","71.88","320.97"
"Hourly","PH19081322","300.00","399.00"
"Block","PB19081322-01","84.95","319.99"
"Block","PB19081323-01","81.43","309.30"
"Hourly","PH19081323","289.10","399.00"
"Hourly","PH19081400","281.00","400.00"
"Block","PB19081400-01","71.64","306.20"
"Hourly","PH19081401","300.00","410.00"
"Block","PB19081401-01","79.78","306.42"
"Block","PB19081402-01","72.84","303.02"
"Hourly","PH19081402","293.00","400.00"
"Block","PB19081403-01","75.92","301.38"
"Hourly","PH19081403","287.39","400.00"
"Block","PB19081404-07","280.00","280.00"
"Hourly","PH19081404","289.47","400.00"
"Block","PB19081404-01","74.69","300.48"
"Block","PB19081405-01","93.01","300.04"
"Hourly","PH19081405","289.04","400.00"
"Hourly","PH19081406","235.00","350.00"
"Block","PB19081406-01","74.13","250.00"
"Hourly","PH19081407","244.40","360.00"
"Block","PB19081407-01","72.81","260.00"
"Block","PB19081408-01","75.12","300.20"
"Hourly","PH19081408","251.20","400.00"
"Block","PB19081409-01","79.72","250.01"
"Hourly","PH19081409","195.00","350.00"
"Hourly","PH19081410","284.59","400.00"
"Block","PB19081410-01","73.06","301.70"
"Hourly","PH19081411","277.00","400.00"
"Block","PB19081411-01","72.97","306.06"
"Block","PB19081412-01","75.04","325.00"
"Hourly","PH19081412","307.02","410.00"
"Hourly","PH19081413","308.29","410.00"
"Block","PB19081413-01","81.48","330.97"
"Hourly","PH19081414","308.38","410.00"
"Block","PB19081414-01","70.01","336.00"
"Hourly","PH19081415","308.38","410.00"
"Block","PB19081415-01","71.30","309.09"
"Block","PB19081416-01","73.18","328.64"
"Hourly","PH19081416","310.00","410.00"
"Block","PB19081417-03","322.11","322.31"
"Block","PB19081417-01","75.79","325.99"
"Hourly","PH19081417","310.00","420.00"
"Hourly","PH19081418","310.00","420.00"
"Block","PB19081418-01","75.39","320.89"
"Block","PB19081419-01","78.52","330.59"
"Hourly","PH19081419","314.00","420.00"
"Block","PB19081420-01","70.06","333.89"
"Hourly","PH19081420","320.00","420.00"
"Block","PB19081421-01","82.12","337.90"
"Block","PB19081421-03","326.11","326.11"
"Hourly","PH19081421","313.00","402.49"
"Hourly","PH19081422","309.00","415.31"
"Block","PB19081422-01","89.38","333.50"
"Block","PB19081423-01","74.98","317.43"
"Hourly","PH19081423","297.00","410.00"
"Block","PB19081500-01","79.02","314.76"
"Hourly","PH19081500","309.10","414.76"
"Hourly","PH19081501","307.00","413.00"
"Block","PB19081501-01","86.64","312.69"
"Block","PB19081502-01","119.67","310.40"
"Hourly","PH19081502","300.00","411.00"
"Hourly","PH19081503","300.00","409.00"
"Block","PB19081503-01","71.79","308.44"
"Block","PB19081504-01","73.01","307.57"
"Hourly","PH19081504","195.00","408.00"
"Block","PB19081505-01","78.80","305.89"
"Hourly","PH19081505","280.01","406.00"
"Block","PB19081506-01","73.87","304.26"
"Hourly","PH19081506","260.00","405.00"
"Hourly","PH19081507","278.40","409.00"
"Block","PB19081507-01","72.37","308.85"
"Block","PB19081508-01","73.29","317.35"
"Hourly","PH19081508","295.00","418.00"
"Block","PB19081509-01","88.08","318.71"
"Hourly","PH19081509","292.00","419.00"
"Block","PB19081510-01","82.05","319.50"
"Hourly","PH19081510","299.90","419.00"
"Block","PB19081511-01","72.68","321.44"
"Hourly","PH19081511","251.00","422.00"
"Hourly","PH19081512","249.00","419.00"
"Block","PB19081512-01","78.39","318.42"
"Block","PB19081513-01","70.52","321.15"
"Block","PB19081513-11","315.00","315.00"
"Hourly","PH19081513","204.99","422.00"
"Block","PB19081514-01","71.01","324.39"
"Block","PB19081514-10","320.00","320.00"
"Hourly","PH19081514","225.00","425.00"
"Block","PB19081515-09","249.00","249.00"
"Block","PB19081515-01","70.36","323.68"
"Hourly","PH19081515","244.00","424.00"
"Block","PB19081516-01","72.68","336.24"
"Hourly","PH19081516","234.97","425.00"
"Block","PB19081516-08","320.00","320.00"
"Block","PB19081517-01","70.33","323.26"
"Hourly","PH19081517","250.00","424.00"
"Hourly","PH19081518","250.00","420.00"
"Block","PB19081518-01","75.98","319.90"
"Hourly","PH19081519","250.10","420.00"
"Block","PB19081519-01","70.58","319.87"
"Block","PB19081520-01","74.97","323.43"
"Hourly","PH19081520","28.00","424.00"
"Block","PB19081521-01","75.75","321.59"
"Hourly","PH19081521","0.00","422.00"
"Block","PB19081522-01","75.31","318.79"
"Hourly","PH19081522","250.00","419.00"
"Hourly","PH19081523","6.00","415.00"
"Block","PB19081523-01","73.44","314.74"
"Hourly","PH19081600","290.00","400.00"
"Block","PB19081600-01","79.80","309.76"
"Block","PB19081601-01","102.68","309.73"
"Hourly","PH19081601","280.31","410.00"
"Block","PB19081602-01","84.68","307.19"
"Hourly","PH19081602","291.30","407.00"
"Hourly","PH19081603","280.10","404.00"
"Block","PB19081603-01","84.25","304.64"
"Block","PB19081604-01","70.94","303.44"
"Hourly","PH19081604","295.01","403.00"
"Block","PB19081605-01","70.29","301.49"
"Hourly","PH19081605","295.00","401.00"
"Hourly","PH19081606","290.00","400.00"
"Block","PB19081606-01","72.56","299.98"
"Block","PB19081607-01","75.36","313.00"
"Hourly","PH19081607","271.60","405.00"
"Block","PB19081608-01","74.22","313.00"
"Hourly","PH19081608","302.00","412.00"
"Hourly","PH19081609","306.00","416.00"
"Block","PB19081609-01","70.79","317.00"
"Hourly","PH19081610","307.93","417.00"
"Block","PB19081610-01","73.22","318.00"
"Block","PB19081611-09","321.00","321.00"
"Block","PB19081611-01","70.09","319.50"
"Hourly","PH19081611","314.01","419.00"
"Block","PB19081612-08","325.00","325.00"
"Block","PB19081612-01","77.83","314.99"
"Hourly","PH19081612","309.80","414.00"
"Block","PB19081613-01","72.72","323.50"
"Hourly","PH19081613","311.60","1,999.50"
"Block","PB19081614-01","74.92","332.01"
"Hourly","PH19081614","314.89","421.00"
"Block","PB19081615-01","80.86","331.10"
"Hourly","PH19081615","318.00","422.00"
"Hourly","PH19081616","318.16","421.00"
"Block","PB19081616-01","77.50","331.01"
"Block","PB19081617-01","70.40","331.16"
"Hourly","PH19081617","0.00","419.00"
"Block","PB19081618-01","82.11","330.00"
"Hourly","PH19081618","312.05","416.00"
"Block","PB19081619-01","75.20","324.01"
"Hourly","PH19081619","0.00","415.00"
"Hourly","PH19081620","315.00","418.00"
"Block","PB19081620-01","76.39","318.76"
"Hourly","PH19081621","310.00","399.00"
"Block","PB19081621-01","70.20","317.82"
"Block","PB19081622-01","74.59","316.00"
"Hourly","PH19081622","308.01","415.00"
"Hourly","PH19081623","304.01","411.00"
"Block","PB19081623-01","70.98","327.39"
"Hourly","PH19081700","299.00","399.00"
"Block","PB19081700-01","104.81","309.40"
"Block","PB19081701-01","75.36","310.57"
"Hourly","PH19081701","280.00","409.00"
"Block","PB19081704-04","300.00","300.00"
"Block","PB19081704-01","70.87","304.80"
"Hourly","PH19081704","270.01","404.00"
"Hourly","PH19081705","279.98","402.00"
"Block","PB19081705-01","81.04","302.44"
"Block","PB19081706-02","300.00","300.00"
"Hourly","PH19081706","200.00","399.00"
"Block","PB19081706-01","80.05","308.97"
"Block","PB19081707-01","70.55","311.00"
"Hourly","PH19081707","245.00","401.00"
"Block","PB19081708-01","77.31","305.61"
"Hourly","PH19081708","280.00","405.00"
"Hourly","PH19081709","290.00","407.00"
"Block","PB19081709-01","82.93","307.45"
"Block","PB19081709-06","299.26","310.00"
"Block","PB19081710-01","71.89","310.00"
"Hourly","PH19081710","210.00","327.86"
"Block","PB19081711-01","90.23","315.00"
"Hourly","PH19081711","275.00","410.99"
"Block","PB19081712-01","74.34","309.91"
"Hourly","PH19081712","279.90","405.30"
"Block","PB19081713-07","300.00","300.00"
"Hourly","PH19081713","280.00","399.00"
"Block","PB19081713-01","100.52","311.42"
"Hourly","PH19081714","285.00","399.00"
"Block","PB19081714-02","310.00","310.00"
"Block","PB19081714-01","82.02","313.79"
"Hourly","PH19081715","285.00","399.00"
"Block","PB19081715-01","70.26","311.98"
"Block","PB19081716-01","75.51","310.34"
"Block","PB19081716-03","0.00","0.00"
"Hourly","PH19081716","278.01","399.00"
"Hourly","PH19081717","270.00","399.00"
"Block","PB19081717-05","304.99","305.00"
"Block","PB19081717-03","295.00","314.99"
"Block","PB19081717-01","78.11","325.00"
"Block","PB19081717-04","310.00","310.00"
"Block","PB19081717-02","320.00","320.00"
"Block","PB19081718-01","81.55","312.02"
"Hourly","PH19081718","250.00","399.00"
"Block","PB19081719-01","75.09","312.66"
"Hourly","PH19081719","255.00","399.00"
"Block","PB19081720-01","86.07","315.56"
"Hourly","PH19081720","270.00","399.00"
"Block","PB19081721-01","79.04","314.99"
"Hourly","PH19081721","0.00","399.00"
"Block","PB19081722-01","70.98","321.07"
"Hourly","PH19081722","0.00","399.00"
"Hourly","PH19081723","0.00","399.00"
"Block","PB19081723-01","72.59","308.46"
"Hourly","PH19081800","300.00","399.00"
"Block","PB19081800-01","99.16","313.68"
"Block","PB19081801-01","102.61","306.34"
"Hourly","PH19081801","288.09","398.90"
"Block","PB19081802-01","76.77","313.65"
"Hourly","PH19081802","284.00","399.00"
"Hourly","PH19081803","284.05","399.00"
"Block","PB19081803-01","70.84","312.53"
"Hourly","PH19081804","285.00","399.00"
"Block","PB19081804-01","78.34","302.21"
"Block","PB19081805-01","86.75","300.08"
"Hourly","PH19081805","293.00","399.00"
"Block","PB19081806-01","75.06","260.00"
"Block","PB19081806-05","220.00","220.00"
"Hourly","PH19081806","245.00","349.00"
"Hourly","PH19081807","229.00","350.00"
"Block","PB19081807-01","84.36","237.00"
"Block","PB19081808-01","78.28","257.23"
"Hourly","PH19081808","250.00","349.00"
"Block","PB19081809-01","73.37","152.44"
"Hourly","PH19081809","142.00","299.00"
"Block","PB19081810-01","79.02","199.99"
"Hourly","PH19081810","180.00","299.00"
"Block","PB19081811-01","71.95","269.00"
"Hourly","PH19081811","225.00","399.00"
"Hourly","PH19081812","214.00","399.00"
"Block","PB19081812-01","73.81","234.80"
"Block","PB19081813-01","70.59","247.64"
"Hourly","PH19081813","224.99","399.00"
"Block","PB19081814-01","79.94","260.00"
"Hourly","PH19081814","230.00","399.00"
"Block","PB19081815-01","76.31","242.00"
"Hourly","PH19081815","200.00","399.00"
"Block","PB19081816-01","79.40","268.69"
"Hourly","PH19081816","227.00","399.00"
"Block","PB19081817-01","71.91","300.91"
"Hourly","PH19081817","260.01","399.00"
"Hourly","PH19081818","270.00","399.00"
"Block","PB19081818-01","71.56","303.19"
"Block","PB19081819-01","78.45","306.50"
"Hourly","PH19081819","270.00","399.00"
"Block","PB19081820-01","89.88","321.98"
"Hourly","PH19081820","275.00","399.00"
"Block","PB19081821-01","72.67","312.13"
"Hourly","PH19081821","282.00","399.00"
"Block","PB19081822-01","75.13","313.00"
"Hourly","PH19081822","295.40","399.00"
"Block","PB19081823-01","88.24","308.51"
"Hourly","PH19081823","200.00","399.00"
"Hourly","PH19081900","270.00","316.00"
"Block","PB19081900-01","84.18","315.25"
"Block","PB19081901-01","72.11","306.62"
"Hourly","PH19081901","280.00","316.00"
"Block","PB19081902-01","72.25","304.83"
"Hourly","PH19081902","290.00","399.00"
"Block","PB19081903-01","74.97","303.54"
"Hourly","PH19081903","290.00","399.00"
"Block","PB19081904-01","70.04","310.47"
"Hourly","PH19081904","290.00","399.00"
"Hourly","PH19081905","281.30","399.00"
"Block","PB19081905-01","72.56","298.99"
"Block","PB19081906-01","77.93","286.11"
"Hourly","PH19081906","255.00","399.00"
"Hourly","PH19081907","284.01","399.00"
"Block","PB19081907-01","76.13","304.62"
"Block","PB19081908-01","73.27","323.56"
"Hourly","PH19081908","304.00","399.00"
"Block","PB19081909-01","84.43","314.85"
"Hourly","PH19081909","304.00","399.00"
"Block","PB19081910-01","83.40","329.80"
"Hourly","PH19081910","299.00","399.00"
"Block","PB19081911-01","79.27","325.00"
"Hourly","PH19081911","306.01","900.00"
"Hourly","PH19081912","100.00","399.00"
"Block","PB19081912-02","312.50","312.50"
"Block","PB19081912-01","82.38","318.38"
"Hourly","PH19081913","286.20","399.00"
"Block","PB19081913-01","72.40","313.40"
"Block","PB19081913-02","19.72","19.72"
"Hourly","PH19081914","290.00","399.00"
"Block","PB19081914-01","12.95","316.13"
"Hourly","PH19081915","290.00","399.00"
"Block","PB19081915-01","72.27","315.47"
"Hourly","PH19081916","289.99","399.00"
"Block","PB19081916-01","94.73","315.47"
"Block","PB19081916-02","315.00","315.00"
"Block","PB19081917-01","83.52","314.53"
"Hourly","PH19081917","285.00","399.00"
"Block","PB19081917-03","16.29","16.29"
"Block","PB19081918-04","312.60","312.60"
"Hourly","PH19081918","270.00","399.00"
"Block","PB19081918-01","71.89","311.69"
"Block","PB19081919-02","310.00","312.00"
"Hourly","PH19081919","270.00","399.00"
"Block","PB19081919-04","31.00","311.00"
"Block","PB19081919-01","71.73","311.44"
"Hourly","PH19081920","287.00","500.00"
"Block","PB19081920-01","78.11","315.36"
"Block","PB19081921-01","73.50","312.89"
"Hourly","PH19081921","280.00","399.00"
"Hourly","PH19081922","8.00","399.00"
"Block","PB19081922-01","71.91","311.42"
"Block","PB19081923-01","74.12","307.55"
"Hourly","PH19081923","280.00","399.00"
"Hourly","PH19082000","300.00","340.00"
"Block","PB19082000-05","29.17","29.17"
"Block","PB19082000-01","77.37","309.72"
"Block","PB19082001-01","70.73","317.98"
"Hourly","PH19082001","290.00","399.00"
"Block","PB19082002-01","86.36","306.95"
"Hourly","PH19082002","280.00","400.00"
"Hourly","PH19082003","295.00","399.00"
"Block","PB19082003-01","75.84","313.79"
"Hourly","PH19082004","295.00","399.00"
"Block","PB19082004-01","83.57","313.00"
"Hourly","PH19082005","290.00","399.00"
"Block","PB19082005-01","70.84","302.99"
"Block","PB19082006-01","82.94","309.62"
"Hourly","PH19082006","283.20","399.00"
"Block","PB19082006-05","14.82","14.82"
"Block","PB19082007-01","70.94","312.70"
"Hourly","PH19082007","290.00","399.00"
"Block","PB19082008-01","71.84","311.61"
"Hourly","PH19082008","260.00","399.00"
"Block","PB19082009-01","75.84","315.25"
"Hourly","PH19082009","290.00","399.00"
"Hourly","PH19082010","266.00","900.00"
"Block","PB19082010-09","1,000.00","1,000.00"
"Block","PB19082010-01","72.65","317.00"
"Hourly","PH19082011","305.00","398.99"
"Block","PB19082011-01","83.06","326.68"
"Block","PB19082012-01","81.31","320.80"
"Hourly","PH19082012","300.00","399.00"
"Block","PB19082013-11","313.00","313.00"
"Block","PB19082013-01","74.09","314.32"
"Hourly","PH19082013","260.00","399.00"
"Block","PB19082014-01","70.39","333.99"
"Hourly","PH19082014","310.00","399.00"
"Block","PB19082015-01","74.48","340.99"
"Hourly","PH19082015","309.00","399.00"
"Block","PB19082016-01","70.62","331.00"
"Hourly","PH19082016","308.00","900.00"
"Hourly","PH19082017","305.00","399.00"
"Block","PB19082017-01","74.90","337.20"
"Block","PB19082018-01","70.92","336.97"
"Hourly","PH19082018","302.00","399.00"
"Block","PB19082019-03","0.00","0.00"
"Block","PB19082019-02","0.00","0.00"
"Block","PB19082019-01","92.62","376.00"
"Hourly","PH19082019","305.00","400.00"
"Block","PB19082020-01","228.92","358.50"
"Hourly","PH19082020","308.00","399.00"
"Block","PB19082021-01","219.27","351.00"
"Hourly","PH19082021","304.00","399.00"
"Block","PB19082022-01","220.94","333.02"
"Hourly","PH19082022","302.00","399.00"
"Hourly","PH19082023","298.34","399.00"
"Block","PB19082023-01","215.57","350.00"
"Block","PB19082100-01","223.06","317.61"
"Hourly","PH19082100","290.00","358.00"
"Hourly","PH19082101","260.00","359.00"
"Block","PB19082101-01","221.07","319.14"
"Hourly","PH19082102","265.00","357.00"
"Block","PB19082102-01","221.03","307.25"
"Block","PB19082103-01","216.22","305.38"
"Hourly","PH19082103","255.00","405.00"
"Hourly","PH19082104","290.00","404.00"
"Block","PB19082104-01","220.34","304.56"
"Block","PB19082105-01","220.54","303.18"
"Hourly","PH19082105","268.71","403.00"
"Block","PB19082106-01","213.86","310.10"
"Hourly","PH19082106","271.27","351.00"
"Block","PB19082107-01","216.11","302.09"
"Hourly","PH19082107","287.02","352.00"
"Hourly","PH19082108","300.00","409.00"
"Block","PB19082108-01","223.80","319.18"
"Hourly","PH19082109","306.00","361.00"
"Block","PB19082109-01","228.04","311.06"
"Block","PB19082110-01","220.70","330.98"
"Hourly","PH19082110","300.00","349.00"
"Block","PB19082111-01","221.80","314.40"
"Hourly","PH19082111","278.40","364.00"
"Hourly","PH19082112","276.40","359.00"
"Block","PB19082112-01","219.46","309.90"
"Block","PB19082113-01","70.91","317.00"
"Hourly","PH19082113","285.00","362.00"
"Block","PB19082114-01","73.59","317.30"
"Hourly","PH19082114","272.00","416.20"
"Hourly","PH19082115","295.00","415.30"
"Block","PB19082115-02","320.00","320.00"
"Block","PB19082115-01","70.36","330.85"
"Hourly","PH19082116","301.02","416.90"
"Block","PB19082116-01","70.20","330.10"
"Block","PB19082116-08","315.00","315.00"
"Hourly","PH19082117","301.00","415.90"
"Block","PB19082117-04","0.00","0.00"
"Block","PB19082117-01","112.90","327.49"
"Block","PB19082117-02","315.00","315.00"
"Block","PB19082118-01","116.07","312.36"
"Hourly","PH19082118","300.00","399.00"
"Hourly","PH19082119","290.00","399.00"
"Block","PB19082119-01","120.46","314.00"
"Block","PB19082120-01","285.95","315.90"
"Block","PB19082120-03","323.33","323.33"
"Hourly","PH19082120","290.00","399.00"
"Block","PB19082121-01","282.08","314.04"
"Block","PB19082121-03","311.00","311.00"
"Hourly","PH19082121","263.01","361.90"
"Hourly","PH19082122","285.00","359.00"
"Block","PB19082122-01","280.26","310.61"
"Hourly","PH19082123","290.00","360.00"
"Block","PB19082123-01","279.33","307.75"
"Hourly","PH19082200","297.00","400.00"
"Block","PB19082200-01","277.51","307.31"
"Block","PB19082201-01","282.10","309.36"
"Hourly","PH19082201","285.00","400.00"
"Hourly","PH19082202","250.00","399.00"
"Block","PB19082202-01","277.88","306.51"
"Hourly","PH19082203","295.00","399.00"
"Block","PB19082203-01","274.61","306.00"
"Hourly","PH19082204","250.00","399.00"
"Block","PB19082204-01","275.94","303.99"
"Block","PB19082205-01","273.72","302.93"
"Hourly","PH19082205","290.00","400.00"
"Block","PB19082206-01","272.63","300.66"
"Hourly","PH19082206","291.63","400.00"
"Hourly","PH19082207","290.00","400.00"
"Block","PB19082207-01","276.33","303.32"
"Block","PB19082208-02","315.00","315.00"
"Block","PB19082208-01","282.31","310.62"
"Hourly","PH19082208","300.00","400.00"
"Block","PB19082209-01","282.27","313.19"
"Hourly","PH19082209","300.00","400.00"
"Hourly","PH19082210","308.00","400.00"
"Block","PB19082210-01","286.16","318.99"
"Block","PB19082211-01","295.72","329.00"
"Hourly","PH19082211","312.01","400.00"
"Hourly","PH19082212","307.01","400.00"
"Block","PB19082212-01","281.41","318.00"
"Block","PB19082213-01","287.55","319.90"
"Hourly","PH19082213","309.01","399.00"
"Block","PB19082214-01","289.16","340.00"
"Hourly","PH19082214","310.01","399.00"
"Block","PB19082215-01","286.02","326.20"
"Hourly","PH19082215","310.00","399.00"
"Hourly","PH19082216","310.00","410.77"
"Block","PB19082216-01","290.17","325.50"
"Block","PB19082216-08","311.00","311.00"
"Block","PB19082217-01","283.20","329.00"
"Hourly","PH19082217","308.03","400.00"
"Block","PB19082218-01","280.20","324.00"
"Hourly","PH19082218","309.46","400.00"
