"Contract Type","Contract Name","Bid Quantity (MWh)","Offer Quantity (MWh)"
"Block","PB19051907-01","218.30","158.10"
"Hourly","PH19051907","4,774.50","2,124.70"
"Block","PB19051908-01","183.90","150.30"
"Hourly","PH19051908","10,965.00","2,063.70"
"Block","PB19051908-02","0.40","0.40"
"Hourly","PH19051909","5,030.80","2,150.90"
"Block","PB19051909-01","152.90","131.00"
"Block","PB19051910-05","0.30","0.30"
"Hourly","PH19051910","4,737.30","1,740.20"
"Block","PB19051910-01","221.60","203.60"
"Block","PB19051911-01","153.60","122.60"
"Hourly","PH19051911","3,412.60","1,701.80"
"Block","PB19051911-04","40.00","40.00"
"Hourly","PH19051912","6,348.40","1,438.10"
"Block","PB19051912-01","168.30","140.20"
"Block","PB19051913-01","162.50","139.60"
"Hourly","PH19051913","13,412.10","1,582.50"
"Block","PB19051914-01","160.80","136.20"
"Hourly","PH19051914","13,601.50","1,218.90"
"Hourly","PH19051915","18,515.00","1,169.30"
"Block","PB19051915-01","157.70","146.10"
"Block","PB19051916-04","0.70","0.70"
"Hourly","PH19051916","22,695.40","603.20"
"Block","PB19051916-01","141.50","133.40"
"Hourly","PH19051917","20,025.50","913.40"
"Block","PB19051917-01","150.10","150.10"
"Hourly","PH19051918","19,858.90","617.80"
"Block","PB19051918-01","168.60","168.60"
"Block","PB19051919-04","10.00","20.00"
"Hourly","PH19051919","8,924.20","771.90"
"Block","PB19051919-01","205.40","205.40"
"Hourly","PH19051920","10,388.50","918.00"
"Block","PB19051920-01","195.00","195.00"
"Hourly","PH19051921","11,998.00","812.00"
"Block","PB19051921-01","211.40","211.40"
"Hourly","PH19051922","12,807.50","889.90"
"Block","PB19051922-01","261.10","261.10"
"Block","PB19051923-01","198.40","198.40"
"Hourly","PH19051923","13,158.80","646.20"
"Block","PB19052000-01","214.90","204.20"
"Block","PB19052000-24","0.40","0.40"
"Hourly","PH19052000","288.70","305.60"
"Block","PB19052001-23","0.40","0.40"
"Hourly","PH19052001","359.20","275.90"
"Block","PB19052001-01","181.60","181.60"
"Block","PB19052002-01","224.30","224.30"
"Hourly","PH19052002","6,891.00","430.30"
"Block","PB19052003-01","204.00","204.00"
"Hourly","PH19052003","394.80","641.50"
"Block","PB19052004-04","7.50","7.50"
"Hourly","PH19052004","570.50","1,064.80"
"Block","PB19052004-01","249.70","247.30"
"Hourly","PH19052005","574.80","1,100.60"
"Block","PB19052005-01","223.30","219.70"
"Block","PB19052006-01","268.90","237.50"
"Hourly","PH19052006","551.70","1,323.90"
"Hourly","PH19052007","428.90","960.00"
"Block","PB19052007-01","263.90","262.60"
"Block","PB19052008-01","211.90","210.60"
"Hourly","PH19052008","12,920.10","936.30"
"Hourly","PH19052009","13,567.20","1,010.70"
"Block","PB19052009-01","247.20","247.20"
"Block","PB19052010-01","251.80","251.80"
"Hourly","PH19052010","1,380.50","1,392.50"
"Block","PB19052011-01","279.20","283.20"
"Hourly","PH19052011","1,353.60","1,423.30"
"Block","PB19052012-01","288.30","288.30"
"Hourly","PH19052012","827.10","1,516.90"
"Block","PB19052013-01","290.50","290.50"
"Hourly","PH19052013","1,190.90","1,831.10"
"Block","PB19052014-01","332.20","332.20"
"Hourly","PH19052014","22,696.00","2,245.80"
"Block","PB19052015-01","274.30","274.30"
"Hourly","PH19052015","1,369.70","2,307.00"
"Hourly","PH19052016","1,174.00","2,550.50"
"Block","PB19052016-01","274.30","287.60"
"Block","PB19052017-01","270.70","280.70"
"Hourly","PH19052017","1,405.10","3,073.30"
"Block","PB19052017-07","0.00","1.50"
"Block","PB19052018-01","246.70","246.70"
"Hourly","PH19052018","1,546.20","2,647.50"
"Block","PB19052019-05","11.80","11.80"
"Hourly","PH19052019","1,296.20","1,498.10"
"Block","PB19052019-01","219.90","219.90"
"Block","PB19052020-01","226.90","226.90"
"Hourly","PH19052020","1,726.20","1,540.70"
"Block","PB19052021-01","243.70","243.70"
"Hourly","PH19052021","3,594.50","1,331.80"
"Hourly","PH19052022","1,909.80","1,492.40"
"Block","PB19052022-01","233.10","233.10"
"Block","PB19052023-01","255.30","255.30"
"Hourly","PH19052023","2,278.60","1,608.40"
"Block","PB19052100-01","212.70","222.70"
"Hourly","PH19052100","385.00","483.60"
"Hourly","PH19052101","799.40","368.40"
"Block","PB19052101-01","238.50","238.50"
"Block","PB19052102-01","212.10","212.10"
"Hourly","PH19052102","1,010.60","489.60"
"Block","PB19052103-01","190.40","190.40"
"Hourly","PH19052103","865.50","657.10"
"Hourly","PH19052104","1,329.00","833.40"
"Block","PB19052104-01","263.20","263.20"
"Block","PB19052105-01","290.30","279.90"
"Block","PB19052105-19","0.60","0.60"
"Hourly","PH19052105","1,190.20","707.50"
"Hourly","PH19052106","810.20","1,027.80"
"Block","PB19052106-01","235.20","212.20"
"Block","PB19052107-01","219.00","219.00"
"Hourly","PH19052107","4,482.70","818.80"
"Hourly","PH19052108","2,077.40","1,035.20"
"Block","PB19052108-01","264.90","264.90"
"Block","PB19052109-01","269.00","269.00"
"Hourly","PH19052109","1,734.50","1,123.30"
"Hourly","PH19052110","1,041.30","3,393.10"
"Block","PB19052110-01","262.50","262.50"
"Block","PB19052111-01","224.40","233.40"
"Hourly","PH19052111","2,147.70","3,481.90"
"Block","PB19052112-01","249.20","235.50"
"Hourly","PH19052112","1,106.90","4,655.70"
"Block","PB19052113-01","279.60","279.60"
"Hourly","PH19052113","1,351.20","4,596.80"
"Hourly","PH19052114","3,792.20","4,151.60"
"Block","PB19052114-01","319.10","319.10"
"Block","PB19052115-01","356.40","356.40"
"Hourly","PH19052115","3,611.30","4,386.70"
"Hourly","PH19052116","4,609.70","2,666.30"
"Block","PB19052116-08","0.00","2.00"
"Block","PB19052116-01","368.00","368.00"
"Block","PB19052117-01","411.60","411.60"
"Hourly","PH19052117","5,035.70","2,960.50"
"Block","PB19052118-01","358.10","358.10"
"Hourly","PH19052118","2,826.90","3,017.50"
"Block","PB19052119-01","414.00","414.00"
"Hourly","PH19052119","3,324.00","3,363.10"
"Hourly","PH19052120","3,998.90","3,866.70"
"Block","PB19052120-01","499.40","474.70"
"Block","PB19052121-01","499.00","439.00"
"Hourly","PH19052121","3,864.90","4,225.80"
"Block","PB19052122-01","405.20","405.20"
"Hourly","PH19052122","4,045.10","3,870.00"
"Block","PB19052123-01","398.60","368.60"
"Hourly","PH19052123","4,007.80","3,731.90"
"Hourly","PH19052200","314.90","722.10"
"Block","PB19052200-01","345.60","345.60"
"Hourly","PH19052201","376.60","611.90"
"Block","PB19052201-01","290.70","290.70"
"Block","PB19052202-01","436.10","346.10"
"Hourly","PH19052202","1,571.20","342.50"
"Hourly","PH19052203","438.20","295.80"
"Block","PB19052203-01","268.10","268.10"
"Hourly","PH19052204","465.10","226.30"
"Block","PB19052204-01","282.50","282.50"
"Block","PB19052205-01","285.90","269.80"
"Hourly","PH19052205","998.90","264.20"
"Hourly","PH19052206","2,025.50","431.90"
"Block","PB19052206-18","0.60","0.70"
"Block","PB19052206-01","299.60","289.20"
"Block","PB19052207-01","283.60","283.60"
"Hourly","PH19052207","1,537.90","250.70"
"Hourly","PH19052208","2,726.70","416.60"
"Block","PB19052208-01","316.70","316.70"
"Block","PB19052209-01","346.70","346.70"
"Hourly","PH19052209","2,618.50","260.50"
"Block","PB19052210-14","0.10","0.10"
"Block","PB19052210-01","389.20","389.20"
"Hourly","PH19052210","1,416.10","497.40"
"Block","PB19052211-01","373.40","373.40"
"Hourly","PH19052211","2,517.20","712.20"
"Hourly","PH19052212","5,604.00","857.60"
"Block","PB19052212-01","383.50","383.50"
"Block","PB19052213-01","387.80","387.80"
"Hourly","PH19052213","5,749.00","731.70"
"Hourly","PH19052214","14,439.00","859.90"
"Block","PB19052214-01","470.50","460.50"
"Block","PB19052215-01","536.50","536.50"
"Hourly","PH19052215","15,785.90","1,041.50"
"Block","PB19052216-01","321.60","321.60"
"Hourly","PH19052216","9,558.80","1,062.70"
"Block","PB19052217-01","343.60","343.60"
"Hourly","PH19052217","10,164.50","1,088.70"
"Hourly","PH19052218","9,336.30","1,363.50"
"Block","PB19052218-01","281.20","281.20"
"Block","PB19052219-01","287.10","287.10"
"Hourly","PH19052219","10,933.10","1,127.70"
"Hourly","PH19052220","10,085.30","1,049.50"
"Block","PB19052220-01","309.60","309.60"
"Block","PB19052221-01","449.60","336.30"
"Hourly","PH19052221","10,979.40","1,369.10"
"Block","PB19052222-01","307.90","307.90"
"Hourly","PH19052222","10,665.80","1,140.90"
"Hourly","PH19052223","10,342.50","1,047.10"
"Block","PB19052223-01","269.00","269.00"
"Block","PB19052300-01","165.70","165.70"
"Hourly","PH19052300","162.90","502.60"
"Block","PB19052300-05","2.00","2.00"
"Block","PB19052300-24","0.60","0.60"
"Hourly","PH19052301","425.20","290.00"
"Block","PB19052301-01","145.50","145.50"
"Hourly","PH19052302","943.60","410.80"
"Block","PB19052302-01","200.60","200.60"
"Hourly","PH19052303","1,272.30","321.50"
"Block","PB19052303-01","230.40","230.40"
"Hourly","PH19052304","1,465.90","359.90"
"Block","PB19052304-01","266.00","253.00"
"Block","PB19052305-01","276.70","268.70"
"Block","PB19052305-02","7.50","7.50"
"Hourly","PH19052305","627.10","425.50"
"Block","PB19052306-01","298.30","290.30"
"Hourly","PH19052306","680.70","548.90"
"Hourly","PH19052307","780.50","358.70"
"Block","PB19052307-01","198.60","195.90"
"Block","PB19052308-01","169.00","169.00"
"Hourly","PH19052308","8,248.40","461.10"
"Block","PB19052309-01","147.70","147.70"
"Hourly","PH19052309","1,714.20","889.50"
"Hourly","PH19052310","2,029.80","1,547.80"
"Block","PB19052310-01","194.30","256.30"
"Block","PB19052310-03","10.00","10.00"
"Block","PB19052311-01","226.70","226.70"
"Hourly","PH19052311","8,536.10","832.40"
"Block","PB19052312-01","211.40","211.40"
"Hourly","PH19052312","717.40","1,171.80"
"Block","PB19052313-01","218.90","218.10"
"Hourly","PH19052313","750.10","1,084.50"
"Block","PB19052314-01","191.50","202.00"
"Hourly","PH19052314","1,243.80","968.90"
"Block","PB19052315-01","459.50","319.50"
"Hourly","PH19052315","3,307.80","1,738.50"
"Block","PB19052316-01","318.10","325.40"
"Hourly","PH19052316","4,978.50","3,032.90"
"Block","PB19052317-01","269.60","269.60"
"Hourly","PH19052317","4,252.20","2,577.70"
"Hourly","PH19052318","4,005.30","2,563.20"
"Block","PB19052318-01","285.00","290.00"
"Hourly","PH19052319","5,471.40","2,656.30"
"Block","PB19052319-01","262.60","262.60"
"Block","PB19052320-01","260.00","260.00"
"Hourly","PH19052320","3,612.80","2,031.40"
"Hourly","PH19052321","2,091.10","1,373.10"
"Block","PB19052321-01","151.80","151.80"
"Hourly","PH19052322","1,175.70","1,342.20"
"Block","PB19052322-01","166.00","166.00"
"Block","PB19052323-01","152.80","152.80"
"Hourly","PH19052323","1,560.40","1,259.80"
"Hourly","PH19052400","692.80","435.00"
"Block","PB19052400-01","147.10","147.10"
"Block","PB19052400-24","0.30","0.30"
"Block","PB19052401-01","134.50","134.50"
"Hourly","PH19052401","3,082.40","342.30"
"Hourly","PH19052402","642.60","359.50"
"Block","PB19052402-01","171.60","171.60"
"Block","PB19052403-01","189.00","189.00"
"Hourly","PH19052403","666.20","346.40"
"Hourly","PH19052404","565.90","346.60"
"Block","PB19052404-01","188.70","188.70"
"Block","PB19052405-01","183.90","172.80"
"Hourly","PH19052405","830.90","508.10"
"Hourly","PH19052406","1,469.40","490.30"
"Block","PB19052406-01","157.80","146.20"
"Block","PB19052407-17","0.30","0.30"
"Hourly","PH19052407","724.50","1,151.40"
"Block","PB19052407-01","175.60","164.80"
"Block","PB19052408-01","177.10","177.10"
"Hourly","PH19052408","779.70","426.90"
"Hourly","PH19052409","1,522.10","341.00"
"Block","PB19052409-01","165.30","165.30"
"Hourly","PH19052410","3,878.90","435.60"
"Block","PB19052410-01","191.10","191.10"
"Block","PB19052411-01","239.80","239.80"
"Hourly","PH19052411","4,720.20","604.50"
"Block","PB19052412-01","283.80","277.10"
"Hourly","PH19052412","2,863.00","629.30"
"Hourly","PH19052413","3,131.10","1,096.60"
"Block","PB19052413-01","339.10","307.30"
"Block","PB19052414-01","500.20","420.20"
"Hourly","PH19052414","3,536.60","769.60"
"Block","PB19052414-10","0.00","2.00"
"Hourly","PH19052415","3,546.00","960.50"
"Block","PB19052415-01","415.20","415.20"
"Block","PB19052416-01","248.90","230.90"
"Hourly","PH19052416","2,862.90","1,012.10"
"Block","PB19052417-01","259.50","259.50"
"Hourly","PH19052417","2,984.70","785.90"
"Block","PB19052418-01","315.30","315.30"
"Hourly","PH19052418","3,240.40","950.40"
"Block","PB19052419-01","306.50","306.50"
"Hourly","PH19052419","2,922.00","803.50"
"Block","PB19052420-01","259.90","259.90"
"Hourly","PH19052420","2,964.20","731.10"
"Block","PB19052421-01","211.30","211.30"
"Hourly","PH19052421","1,198.20","754.90"
"Block","PB19052422-01","235.90","235.90"
"Hourly","PH19052422","2,186.80","636.20"
"Hourly","PH19052423","1,289.70","702.10"
"Block","PB19052423-01","229.30","229.30"
"Block","PB19052500-01","222.60","222.60"
"Hourly","PH19052500","326.10","1,404.50"
"Block","PB19052500-24","0.60","0.60"
"Hourly","PH19052501","229.10","3,642.40"
"Block","PB19052501-01","216.50","216.50"
"Block","PB19052502-08","4.20","4.20"
"Hourly","PH19052502","224.90","4,156.80"
"Block","PB19052502-01","215.10","215.10"
"Hourly","PH19052503","278.60","5,294.90"
"Block","PB19052503-01","245.50","245.50"
"Hourly","PH19052504","239.20","1,011.60"
"Block","PB19052504-01","241.80","241.80"
"Hourly","PH19052505","227.00","425.40"
"Block","PB19052505-01","329.30","313.20"
"Block","PB19052506-01","283.60","245.10"
"Hourly","PH19052506","1,137.20","643.40"
"Hourly","PH19052507","421.60","388.70"
"Block","PB19052507-01","279.80","260.10"
"Hourly","PH19052508","857.60","496.00"
"Block","PB19052508-01","198.10","198.10"
"Hourly","PH19052509","1,153.70","247.50"
"Block","PB19052509-01","234.40","206.20"
"Hourly","PH19052510","1,153.00","442.50"
"Block","PB19052510-01","179.30","165.60"
"Hourly","PH19052511","5,354.80","492.40"
"Block","PB19052511-01","160.60","159.40"
"Block","PB19052512-01","212.80","207.20"
"Hourly","PH19052512","11,194.30","485.90"
"Block","PB19052513-01","208.40","202.10"
"Hourly","PH19052513","11,148.80","600.70"
"Block","PB19052514-01","206.40","197.90"
"Hourly","PH19052514","10,810.30","671.40"
"Hourly","PH19052515","11,257.90","1,345.80"
"Block","PB19052515-01","189.10","176.80"
"Block","PB19052516-01","186.20","181.90"
"Hourly","PH19052516","11,518.30","666.70"
"Hourly","PH19052517","11,623.60","661.10"
"Block","PB19052517-01","188.50","184.40"
"Block","PB19052517-04","8.00","8.00"
"Block","PB19052518-01","195.00","195.00"
"Block","PB19052518-06","0.00","2.30"
"Hourly","PH19052518","1,220.00","983.80"
"Block","PB19052519-01","170.80","170.80"
"Hourly","PH19052519","5,146.10","1,011.10"
"Hourly","PH19052520","5,132.00","736.10"
"Block","PB19052520-01","199.20","169.20"
"Block","PB19052521-01","200.70","200.70"
"Hourly","PH19052521","5,371.80","747.00"
"Block","PB19052522-01","167.10","167.10"
"Hourly","PH19052522","1,595.60","934.50"
"Hourly","PH19052523","1,870.10","1,046.80"
"Block","PB19052523-01","163.70","163.70"
"Block","PB19052600-01","133.30","133.30"
"Hourly","PH19052600","477.40","1,421.00"
"Block","PB19052601-23","0.60","0.60"
"Hourly","PH19052601","567.90","1,987.00"
"Block","PB19052601-01","110.30","110.30"
"Block","PB19052602-01","97.50","97.50"
"Hourly","PH19052602","780.20","2,645.10"
"Hourly","PH19052603","1,205.80","3,423.40"
"Block","PB19052603-01","107.50","107.50"
"Block","PB19052604-01","109.60","109.60"
"Hourly","PH19052604","736.80","3,837.00"
"Block","PB19052605-01","157.20","157.10"
"Block","PB19052605-10","7.00","7.00"
"Block","PB19052605-03","0.50","0.50"
"Hourly","PH19052605","977.40","1,107.10"
"Block","PB19052606-05","153.00","153.00"
"Block","PB19052606-01","304.00","279.80"
"Hourly","PH19052606","2,210.40","1,285.30"
"Block","PB19052607-01","219.60","216.80"
"Hourly","PH19052607","1,790.20","1,335.70"
"Block","PB19052608-01","211.10","208.00"
"Block","PB19052608-02","144.10","0.00"
"Block","PB19052608-07","0.40","0.40"
"Hourly","PH19052608","1,893.70","1,259.00"
"Block","PB19052609-01","229.20","74.10"
"Hourly","PH19052609","1,030.80","1,043.80"
"Block","PB19052610-03","150.00","0.00"
"Block","PB19052610-01","285.80","285.00"
"Hourly","PH19052610","2,108.30","1,514.40"
"Hourly","PH19052611","1,933.90","1,272.90"
"Block","PB19052611-02","40.00","40.00"
"Block","PB19052611-01","273.60","122.80"
"Block","PB19052612-01","302.20","151.20"
"Hourly","PH19052612","11,157.00","1,227.30"
"Hourly","PH19052613","9,665.20","856.20"
"Block","PB19052613-01","144.80","143.90"
"Block","PB19052614-01","195.80","194.80"
"Hourly","PH19052614","9,935.50","849.10"
"Hourly","PH19052615","13,559.40","546.40"
"Block","PB19052615-01","177.20","161.70"
"Block","PB19052616-01","245.30","240.40"
"Hourly","PH19052616","10,146.40","1,022.40"
"Hourly","PH19052617","6,131.40","1,219.60"
"Block","PB19052617-01","303.80","303.80"
"Hourly","PH19052618","1,598.50","2,621.80"
"Block","PB19052618-01","256.50","255.10"
"Block","PB19052619-01","162.50","162.50"
"Hourly","PH19052619","6,762.20","902.50"
"Block","PB19052620-01","200.60","200.60"
"Block","PB19052620-02","10.00","10.00"
"Hourly","PH19052620","10,920.60","534.20"
"Hourly","PH19052621","11,440.30","531.00"
"Block","PB19052621-01","195.90","195.90"
"Block","PB19052622-01","241.00","239.00"
"Hourly","PH19052622","6,113.10","823.80"
"Block","PB19052623-01","201.70","201.70"
"Hourly","PH19052623","6,202.70","1,161.40"
"Block","PB19052700-24","0.60","0.60"
"Hourly","PH19052700","623.00","376.50"
"Block","PB19052700-01","157.00","133.40"
"Hourly","PH19052701","546.40","487.80"
"Block","PB19052701-01","165.10","150.80"
"Block","PB19052702-01","138.70","138.70"
"Block","PB19052702-02","7.70","7.70"
"Hourly","PH19052702","1,555.00","605.30"
"Block","PB19052703-01","151.30","151.30"
"Hourly","PH19052703","1,664.50","558.60"
"Block","PB19052704-01","229.70","213.40"
"Hourly","PH19052704","637.40","172.00"
"Hourly","PH19052705","701.20","618.10"
"Block","PB19052705-02","111.50","57.50"
"Block","PB19052705-01","301.70","239.30"
"Hourly","PH19052706","871.90","792.00"
"Block","PB19052706-01","212.40","186.90"
"Hourly","PH19052707","671.60","348.00"
"Block","PB19052707-01","146.10","138.20"
"Hourly","PH19052708","5,586.70","187.80"
"Block","PB19052708-01","131.90","131.90"
"Hourly","PH19052709","5,814.00","379.10"
"Block","PB19052709-08","0.10","0.10"
"Block","PB19052709-01","132.60","132.60"
"Block","PB19052710-01","124.20","124.20"
"Hourly","PH19052710","6,560.70","554.10"
"Hourly","PH19052711","7,682.50","644.80"
"Block","PB19052711-01","119.30","119.50"
"Block","PB19052711-08","7.70","7.70"
"Hourly","PH19052712","5,911.60","989.50"
"Block","PB19052712-01","114.60","114.60"
"Block","PB19052713-01","126.30","126.30"
"Hourly","PH19052713","7,812.50","1,056.40"
"Hourly","PH19052714","8,427.90","1,238.80"
"Block","PB19052714-02","20.00","10.00"
"Block","PB19052714-01","189.90","149.90"
"Block","PB19052715-01","162.50","162.50"
"Hourly","PH19052715","8,533.80","1,035.60"
"Block","PB19052716-03","10.00","10.00"
"Block","PB19052716-01","167.30","167.30"
"Hourly","PH19052716","4,970.10","1,207.60"
"Hourly","PH19052717","5,371.30","1,178.60"
"Block","PB19052717-03","8.50","8.50"
"Block","PB19052717-01","187.50","187.50"
"Hourly","PH19052718","5,325.00","932.60"
"Block","PB19052718-01","203.10","203.10"
"Hourly","PH19052719","5,120.90","1,064.40"
"Block","PB19052719-01","177.50","177.50"
"Block","PB19052719-05","7.70","7.70"
"Block","PB19052720-04","2.50","2.50"
"Hourly","PH19052720","5,273.40","1,640.20"
"Block","PB19052720-01","166.00","166.00"
"Block","PB19052720-02","9.50","9.50"
"Hourly","PH19052721","4,941.70","1,369.20"
"Block","PB19052721-03","30.00","30.00"
"Block","PB19052721-01","177.00","177.00"
"Block","PB19052722-01","178.00","178.00"
"Hourly","PH19052722","5,449.10","1,208.70"
"Block","PB19052723-01","188.30","158.30"
"Hourly","PH19052723","5,486.10","1,808.90"
"Block","PB19052800-04","1.00","1.00"
"Hourly","PH19052800","195.40","2,410.00"
"Block","PB19052800-01","123.10","123.10"
"Block","PB19052801-23","0.60","0.60"
"Block","PB19052801-01","98.50","98.50"
"Hourly","PH19052801","217.00","2,998.10"
"Hourly","PH19052802","201.80","3,440.40"
"Block","PB19052802-01","118.30","118.30"
"Block","PB19052803-01","119.90","119.90"
"Hourly","PH19052803","291.40","4,438.60"
"Block","PB19052804-01","97.80","97.80"
"Hourly","PH19052804","155.10","4,522.80"
"Hourly","PH19052805","145.60","4,233.90"
"Block","PB19052805-01","100.20","99.30"
"Block","PB19052806-01","112.70","108.30"
"Hourly","PH19052806","812.10","788.80"
"Block","PB19052807-01","105.90","104.30"
"Hourly","PH19052807","291.20","7,384.80"
"Hourly","PH19052808","224.90","5,253.10"
"Block","PB19052808-01","92.10","92.10"
"Hourly","PH19052809","212.50","6,153.70"
"Block","PB19052809-01","94.30","94.30"
"Block","PB19052810-01","131.20","131.20"
"Block","PB19052810-02","4.10","4.10"
"Hourly","PH19052810","326.90","9,186.80"
"Hourly","PH19052811","330.20","5,178.70"
"Block","PB19052811-01","137.40","137.40"
"Block","PB19052811-03","0.50","0.50"
"Block","PB19052812-01","154.70","154.70"
"Hourly","PH19052812","892.30","2,599.30"
"Block","PB19052813-01","186.50","181.50"
"Hourly","PH19052813","2,237.90","3,008.30"
"Block","PB19052814-01","195.80","195.80"
"Hourly","PH19052814","3,952.50","2,650.20"
"Block","PB19052815-01","243.10","243.10"
"Hourly","PH19052815","3,831.80","3,171.60"
"Block","PB19052816-01","249.30","249.30"
"Hourly","PH19052816","3,873.20","1,373.30"
"Hourly","PH19052817","4,335.00","1,451.30"
"Block","PB19052817-01","234.20","234.20"
"Block","PB19052818-01","240.60","240.60"
"Hourly","PH19052818","3,861.30","1,459.10"
"Block","PB19052819-01","287.30","287.30"
"Hourly","PH19052819","3,324.90","1,255.30"
"Block","PB19052820-01","312.30","312.30"
"Hourly","PH19052820","2,593.90","1,082.00"
"Block","PB19052821-01","308.70","304.60"
"Hourly","PH19052821","2,589.30","1,247.40"
"Block","PB19052822-01","294.20","294.20"
"Hourly","PH19052822","2,120.90","3,180.20"
"Hourly","PH19052823","2,231.50","2,577.90"
"Block","PB19052823-01","279.10","279.10"
"Block","PB19052900-01","265.10","265.10"
"Hourly","PH19052900","384.40","420.00"
"Block","PB19052901-23","0.60","0.60"
"Block","PB19052901-01","228.10","228.10"
"Hourly","PH19052901","473.90","411.70"
"Hourly","PH19052902","489.30","352.70"
"Block","PB19052902-01","259.40","259.40"
"Hourly","PH19052903","778.10","444.50"
"Block","PB19052903-01","357.80","367.80"
"Block","PB19052904-01","292.90","292.90"
"Hourly","PH19052904","617.30","350.10"
"Hourly","PH19052905","552.20","221.00"
"Block","PB19052905-01","308.50","303.50"
"Hourly","PH19052906","792.40","312.20"
"Block","PB19052906-01","307.40","298.30"
"Block","PB19052907-01","243.80","243.80"
"Hourly","PH19052907","422.40","738.60"
"Block","PB19052908-01","216.50","202.20"
"Hourly","PH19052908","3,778.00","187.20"
"Hourly","PH19052909","3,544.10","185.50"
"Block","PB19052909-01","217.90","217.90"
"Hourly","PH19052910","6,089.20","466.40"
"Block","PB19052910-01","192.90","192.90"
"Block","PB19052911-01","452.70","452.70"
"Hourly","PH19052911","6,750.00","600.70"
"Hourly","PH19052912","5,683.80","2,975.90"
"Block","PB19052912-01","357.90","430.40"
"Hourly","PH19052913","5,770.10","2,886.00"
"Block","PB19052913-01","389.10","393.20"
"Block","PB19052913-05","0.50","0.50"
"Block","PB19052914-01","412.80","412.80"
"Hourly","PH19052914","3,389.30","3,476.90"
"Block","PB19052915-01","426.40","426.40"
"Hourly","PH19052915","2,972.10","3,634.30"
"Hourly","PH19052916","6,993.20","3,642.00"
"Block","PB19052916-01","443.60","437.10"
"Block","PB19052917-01","852.70","852.70"
"Hourly","PH19052917","7,247.40","3,492.00"
"Block","PB19052918-01","758.20","508.20"
"Hourly","PH19052918","6,300.40","2,785.50"
"Hourly","PH19052919","6,515.80","2,911.70"
"Block","PB19052919-01","454.70","454.70"
"Hourly","PH19052920","6,012.40","3,630.70"
"Block","PB19052920-01","562.60","562.60"
"Block","PB19052921-01","467.30","467.30"
"Hourly","PH19052921","7,085.80","4,152.90"
"Block","PB19052921-03","1.00","1.00"
"Block","PB19052922-01","405.80","405.80"
"Hourly","PH19052922","7,111.80","6,733.60"
"Block","PB19052923-01","667.70","667.70"
"Hourly","PH19052923","6,815.60","6,722.90"
"Hourly","PH19053000","321.80","539.20"
"Block","PB19053000-03","0.50","0.50"
"Block","PB19053000-01","148.70","148.70"
"Block","PB19053001-23","0.40","0.40"
"Block","PB19053001-01","296.20","266.10"
"Hourly","PH19053001","260.70","376.40"
"Hourly","PH19053002","291.80","662.60"
"Block","PB19053002-01","131.10","131.10"
"Block","PB19053002-22","0.20","0.20"
"Block","PB19053003-01","150.10","150.10"
"Hourly","PH19053003","382.70","678.80"
"Block","PB19053003-03","0.50","0.50"
"Hourly","PH19053004","433.60","716.90"
"Block","PB19053004-01","137.10","137.10"
"Hourly","PH19053005","285.00","662.00"
"Block","PB19053005-01","119.70","119.70"
"Block","PB19053006-01","112.80","111.80"
"Hourly","PH19053006","457.90","199.20"
"Block","PB19053007-01","102.00","102.00"
"Hourly","PH19053007","8,422.00","838.50"
"Block","PB19053008-01","142.00","142.00"
"Hourly","PH19053008","4,922.10","9,609.00"
"Hourly","PH19053009","2,180.20","10,156.10"
"Block","PB19053009-01","111.80","111.80"
"Hourly","PH19053010","3,259.00","6,156.60"
"Block","PB19053010-01","192.40","192.40"
"Hourly","PH19053011","3,780.00","6,448.40"
"Block","PB19053011-01","177.70","177.70"
"Block","PB19053012-01","196.50","193.70"
"Hourly","PH19053012","5,194.60","6,049.10"
"Block","PB19053013-03","90.00","90.00"
"Block","PB19053013-01","141.00","141.00"
"Hourly","PH19053013","5,936.40","5,050.80"
"Block","PB19053014-01","184.50","184.50"
"Hourly","PH19053014","5,640.80","5,916.70"
"Block","PB19053015-01","162.70","159.20"
"Hourly","PH19053015","6,419.40","6,010.20"
"Block","PB19053016-01","211.20","211.20"
"Hourly","PH19053016","7,122.40","4,477.80"
"Hourly","PH19053017","7,102.40","4,756.60"
"Block","PB19053017-03","1.00","1.00"
"Block","PB19053017-01","202.50","202.50"
"Block","PB19053018-01","359.20","359.20"
"Hourly","PH19053018","8,240.70","5,201.70"
"Block","PB19053019-01","391.50","391.50"
"Hourly","PH19053019","7,438.10","4,986.20"
"Block","PB19053020-01","409.60","409.60"
"Hourly","PH19053020","5,598.20","5,647.20"
"Block","PB19053021-01","404.90","404.90"
"Hourly","PH19053021","5,118.80","7,036.40"
"Block","PB19053022-01","193.50","181.60"
"Hourly","PH19053022","5,577.20","8,143.20"
"Hourly","PH19053023","5,424.10","8,355.00"
"Block","PB19053023-01","184.90","184.90"
"Block","PB19053100-01","181.30","181.30"
"Hourly","PH19053100","1,188.10","292.40"
"Block","PB19053100-24","0.20","0.60"
"Block","PB19053101-01","197.70","197.70"
"Hourly","PH19053101","827.10","414.80"
"Block","PB19053102-22","0.40","0.40"
"Block","PB19053102-01","184.40","184.40"
"Hourly","PH19053102","968.60","474.90"
"Block","PB19053103-01","164.00","164.00"
