"Contract Type","Contract Name","Bid Quantity (MWh)","Offer Quantity (MWh)"
"Hourly","PH19010706","467.60","1,796.00"
"Block","PB19010706-01","26.70","26.70"
"Block","PB19010707-01","21.80","21.80"
"Hourly","PH19010707","621.30","1,704.40"
"Hourly","PH19010708","617.20","202.40"
"Block","PB19010708-01","17.70","17.70"
"Block","PB19010709-01","15.80","15.80"
"Hourly","PH19010709","754.20","2,443.50"
"Hourly","PH19010710","978.80","2,633.90"
"Block","PB19010710-01","16.40","16.40"
"Block","PB19010711-02","4.80","4.80"
"Block","PB19010711-13","0.20","0.00"
"Hourly","PH19010711","1,009.50","3,724.10"
"Block","PB19010711-01","9.80","9.70"
"Hourly","PH19010712","980.50","444.80"
"Block","PB19010712-01","47.30","27.30"
"Block","PB19010712-12","0.10","0.10"
"Block","PB19010712-02","5.00","5.00"
"Block","PB19010713-01","23.70","23.70"
"Hourly","PH19010713","1,545.40","758.80"
"Block","PB19010713-03","7.00","3.50"
"Block","PB19010714-03","4.00","4.00"
"Hourly","PH19010714","1,438.80","519.50"
"Block","PB19010714-01","35.20","35.20"
"Hourly","PH19010715","2,014.20","529.60"
"Block","PB19010715-01","50.70","57.70"
"Block","PB19010716-02","2.70","2.70"
"Hourly","PH19010716","2,021.80","615.60"
"Block","PB19010716-01","50.30","50.30"
"Hourly","PH19010717","2,121.30","502.10"
"Block","PB19010717-01","54.30","54.30"
"Block","PB19010718-01","53.70","53.70"
"Hourly","PH19010718","2,181.00","435.20"
"Block","PB19010718-02","6.20","6.20"
"Hourly","PH19010719","2,548.10","359.00"
"Block","PB19010719-01","65.30","65.30"
"Block","PB19010720-01","52.50","55.80"
"Hourly","PH19010720","2,955.10","417.00"
"Block","PB19010720-03","17.30","17.30"
"Block","PB19010720-02","5.40","2.70"
"Hourly","PH19010721","3,185.20","724.40"
"Block","PB19010721-01","61.00","65.80"
"Block","PB19010722-01","61.50","61.50"
"Hourly","PH19010722","4,197.40","1,016.00"
"Block","PB19010723-01","55.80","55.80"
"Hourly","PH19010723","8,031.90","799.10"
"Hourly","PH19010800","223.40","446.00"
"Block","PB19010800-01","29.40","29.90"
"Block","PB19010801-01","46.50","46.50"
"Hourly","PH19010801","339.40","324.40"
"Block","PB19010802-01","49.20","49.20"
"Block","PB19010802-02","7.00","7.00"
"Hourly","PH19010802","254.30","246.60"
"Block","PB19010803-01","43.30","43.30"
"Hourly","PH19010803","205.10","233.90"
"Block","PB19010804-01","58.60","58.60"
"Hourly","PH19010804","318.70","361.40"
"Block","PB19010805-01","41.10","41.10"
"Hourly","PH19010805","421.20","402.10"
"Block","PB19010806-01","48.00","48.00"
"Hourly","PH19010806","1,622.70","428.70"
"Block","PB19010807-01","50.80","50.80"
"Hourly","PH19010807","680.60","3,655.80"
"Block","PB19010808-01","58.50","58.50"
"Hourly","PH19010808","2,177.90","709.60"
"Block","PB19010809-01","66.90","66.90"
"Hourly","PH19010809","3,286.60","310.50"
"Block","PB19010810-01","67.90","67.90"
"Hourly","PH19010810","3,364.10","395.00"
"Block","PB19010811-02","1.00","1.00"
"Block","PB19010811-01","77.80","77.80"
"Hourly","PH19010811","4,998.60","603.30"
"Block","PB19010812-01","92.60","92.60"
"Hourly","PH19010812","6,047.20","562.00"
"Block","PB19010813-01","122.70","102.70"
"Hourly","PH19010813","5,105.60","506.10"
"Block","PB19010814-01","162.50","135.50"
"Hourly","PH19010814","6,151.90","361.00"
"Block","PB19010815-01","140.10","120.10"
"Hourly","PH19010815","5,682.20","440.90"
"Block","PB19010816-02","2.50","0.00"
"Block","PB19010816-01","166.90","140.90"
"Hourly","PH19010816","5,893.40","463.80"
"Block","PB19010817-01","186.10","180.10"
"Hourly","PH19010817","8,166.50","458.90"
"Block","PB19010818-06","27.80","22.60"
"Block","PB19010818-01","78.90","86.90"
"Hourly","PH19010818","7,740.30","490.30"
"Block","PB19010819-01","58.10","58.60"
"Hourly","PH19010819","8,002.70","353.20"
"Block","PB19010820-01","59.10","59.10"
"Hourly","PH19010820","8,228.00","678.30"
"Block","PB19010821-01","50.40","50.40"
"Hourly","PH19010821","10,942.80","872.20"
"Block","PB19010822-01","37.70","37.70"
"Hourly","PH19010822","7,002.00","828.20"
"Block","PB19010823-01","45.60","45.60"
"Hourly","PH19010823","7,084.60","613.30"
"Block","PB19010900-01","22.80","22.80"
"Block","PB19010900-12","20.00","20.00"
"Hourly","PH19010900","267.60","479.90"
"Hourly","PH19010901","282.40","202.60"
"Block","PB19010901-01","24.30","24.30"
"Block","PB19010902-01","29.70","29.70"
"Hourly","PH19010902","373.10","278.70"
"Hourly","PH19010903","1,531.40","142.80"
"Block","PB19010903-01","27.00","27.00"
"Block","PB19010904-01","44.50","44.50"
"Hourly","PH19010904","1,969.20","203.40"
"Hourly","PH19010905","2,630.30","191.40"
"Block","PB19010905-01","27.80","27.80"
"Block","PB19010906-01","35.50","35.50"
"Hourly","PH19010906","5,805.80","182.70"
"Block","PB19010907-01","41.90","41.90"
"Hourly","PH19010907","1,398.80","2,251.50"
"Block","PB19010908-01","57.60","57.60"
"Hourly","PH19010908","1,804.00","291.80"
"Block","PB19010909-01","77.30","77.30"
"Hourly","PH19010909","2,587.10","284.40"
"Block","PB19010910-01","75.60","75.60"
"Block","PB19010910-03","0.50","0.50"
"Hourly","PH19010910","1,438.50","517.50"
"Block","PB19010911-04","5.80","5.80"
"Block","PB19010911-01","224.30","224.30"
"Hourly","PH19010911","1,654.00","626.70"
"Block","PB19010912-03","20.00","20.00"
"Hourly","PH19010912","2,284.70","561.10"
"Block","PB19010912-08","445.00","445.00"
"Block","PB19010912-01","75.90","75.20"
"Block","PB19010913-01","79.40","79.40"
"Hourly","PH19010913","3,501.40","559.70"
"Block","PB19010914-01","71.20","71.20"
"Hourly","PH19010914","3,238.50","703.00"
"Block","PB19010915-04","20.00","20.00"
"Block","PB19010915-01","100.50","110.50"
"Hourly","PH19010915","5,771.40","849.50"
"Block","PB19010916-01","86.00","86.10"
"Hourly","PH19010916","6,054.50","1,219.70"
"Block","PB19010917-01","113.80","113.80"
"Hourly","PH19010917","6,052.40","1,311.60"
"Block","PB19010918-01","55.80","55.80"
"Hourly","PH19010918","5,984.50","1,097.10"
"Hourly","PH19010919","6,357.20","1,336.60"
"Block","PB19010919-01","94.20","68.60"
"Block","PB19010919-05","20.00","20.00"
"Hourly","PH19010920","8,118.40","1,794.80"
"Block","PB19010920-01","83.70","125.70"
"Block","PB19010920-04","499.00","499.00"
"Block","PB19010921-01","82.50","74.00"
"Hourly","PH19010921","9,594.50","1,471.50"
"Hourly","PH19010922","7,012.90","1,256.80"
"Block","PB19010922-01","87.90","61.80"
"Block","PB19010923-01","631.90","626.90"
"Hourly","PH19010923","8,035.80","4,157.70"
"Hourly","PH19011000","943.60","981.90"
"Block","PB19011000-01","29.50","29.50"
"Block","PB19011000-03","75.00","75.00"
"Block","PB19011001-01","40.30","40.30"
"Hourly","PH19011001","967.70","804.90"
"Hourly","PH19011002","984.60","1,181.70"
"Block","PB19011002-01","60.60","54.70"
"Block","PB19011003-03","50.00","50.00"
"Hourly","PH19011003","959.50","1,483.60"
"Block","PB19011003-01","47.30","44.20"
"Hourly","PH19011004","952.90","1,461.50"
"Block","PB19011004-01","54.80","49.90"
"Hourly","PH19011005","1,560.00","1,362.50"
"Block","PB19011005-01","55.40","48.60"
"Block","PB19011006-01","127.80","121.10"
"Hourly","PH19011006","672.00","1,320.20"
"Block","PB19011007-01","66.40","66.40"
"Hourly","PH19011007","425.30","1,232.10"
"Block","PB19011008-01","57.00","57.00"
"Hourly","PH19011008","637.90","582.60"
"Hourly","PH19011009","900.00","583.70"
"Block","PB19011009-01","82.20","82.20"
"Hourly","PH19011010","914.30","963.50"
"Block","PB19011010-01","61.60","61.60"
"Block","PB19011011-01","134.60","132.20"
"Hourly","PH19011011","1,429.30","681.10"
"Block","PB19011012-01","66.10","63.50"
"Hourly","PH19011012","948.90","820.30"
"Block","PB19011013-01","121.40","121.40"
"Hourly","PH19011013","892.00","964.20"
